Date,Open,Close,High,Low,Volume
16-11-20,18.0,17.7,18.1,17.7,6268580
17-11-20,17.85,18.25,18.25,17.65,8582800
18-11-20,18.3,18.4,18.6,18.2,7510860
19-11-20,18.55,18.45,18.6,18.3,5201760
20-11-20,18.45,18.2,18.5,18.1,6053890
23-11-20,18.2,18.7,18.75,18.05,9362300
24-11-20,18.8,18.95,19.1,18.6,10946270
25-11-20,19.0,19.2,19.3,18.95,8630730
26-11-20,19.15,19.15,19.3,18.85,5344370
27-11-20,19.15,19.35,19.4,19.15,4608770
30-11-20,19.4,19.25,19.6,19.2,6728330
01-12-20,18.8,19.4,19.4,18.8,8794040
02-12-20,19.4,19.7,19.85,19.35,7098230
03-12-20,19.9,20.2,20.4,19.8,8053380
04-12-20,20.2,20.05,20.3,20.0,6343360
07-12-20,20.35,20.55,20.6,20.25,7082510
08-12-20,20.65,21.9,21.95,20.65,11532900
09-12-20,22.2,22.7,23.2,22.2,13762100
10-12-20,22.7,22.8,23.25,22.4,9858070
11-12-20,22.8,23.55,23.55,22.55,9023250
14-12-20,24.1,25.15,25.15,24.0,11829490
15-12-20,24.8,25.5,26.1,24.8,15342550
16-12-20,25.6,25.05,25.8,25.0,14443400
17-12-20,24.8,25.05,25.6,24.6,13209050
18-12-20,25.4,26.8,26.8,25.15,14808270
21-12-20,27.4,28.65,28.65,27.2,14052330
22-12-20,29.0,29.6,29.95,28.45,12607350
23-12-20,29.35,28.8,29.4,28.5,13975960
24-12-20,28.7,28.35,28.8,26.8,15882040
25-12-20,28.0,30.3,30.3,27.65,16010740
28-12-20,31.7,32.0,32.25,31.1,12578470
29-12-20,31.5,31.7,32.15,31.1,11912020
30-12-20,31.4,31.5,31.95,31.0,10530310
31-12-20,31.5,33.1,33.45,31.45,9645420
04-01-21,34.5,33.8,34.6,33.8,9011500
05-01-21,33.25,33.75,34.1,33.1,8624800
06-01-21,34.2,34.0,34.95,33.0,10370000
07-01-21,34.5,34.4,34.6,33.55,13783700
08-01-21,34.9,34.15,34.9,33.55,11401100
11-01-21,34.1,33.55,34.2,33.05,13473300
12-01-21,33.2,34.1,34.5,32.5,16390400
13-01-21,34.5,33.5,34.5,33.4,9755200
14-01-21,33.5,35.35,35.8,33.0,22844000
15-01-21,35.8,36.95,37.25,35.45,14649600
18-01-21,36.95,36.3,36.95,36.05,11612500
19-01-21,35.8,33.8,36.35,33.8,19694000
20-01-21,34.2,33.3,34.5,31.55,14483300
21-01-21,33.4,34.55,35.0,33.0,13084500
22-01-21,34.3,33.75,34.7,33.4,11501200
25-01-21,33.2,33.7,34.55,32.9,12151400
26-01-21,33.45,32.0,33.6,31.6,10631800
27-01-21,31.1,29.8,32.0,29.8,14058600
28-01-21,27.75,27.75,28.25,27.75,18067700
29-01-21,26.0,28.8,29.65,26.0,14006900
01-02-21,28.7,26.8,29.5,26.8,15664500
02-02-21,26.7,27.8,28.0,25.7,11603300
03-02-21,28.5,29.7,29.7,28.0,14370500
04-02-21,29.7,29.7,30.6,29.2,12070400
05-02-21,29.8,31.5,31.5,29.75,12415200
08-02-21,31.8,30.6,32.75,29.6,21430000
09-02-21,30.8,31.75,31.9,29.6,15890800
17-02-21,32.5,33.55,33.6,32.2,11244000
18-02-21,33.5,33.3,33.75,32.75,14644800
19-02-21,32.7,33.15,33.6,32.7,11921100
22-02-21,33.15,32.85,33.75,32.7,13412000
23-02-21,32.95,33.6,33.95,32.65,15568700
24-02-21,34.3,33.45,34.45,33.0,14635500
25-02-21,33.7,33.45,33.75,32.9,11141000
26-02-21,32.7,33.2,33.4,32.6,13946600
01-03-21,33.6,35.0,35.1,33.3,19294900
02-03-21,35.5,35.05,35.5,34.65,12530900
03-03-21,34.75,34.85,35.1,34.6,9827100
04-03-21,34.95,33.45,34.95,33.0,15631000
05-03-21,33.0,33.45,33.45,32.5,14142300
08-03-21,34.15,33.55,34.45,33.35,10821800
09-03-21,33.3,33.05,33.55,32.75,10483300
10-03-21,32.8,33.1,33.25,32.3,10935600
11-03-21,33.6,33.95,34.3,33.3,10817400
12-03-21,33.95,33.5,34.1,33.4,6189600
15-03-21,33.5,33.2,33.7,33.2,7094400
16-03-21,33.2,32.7,33.2,32.4,12975900
17-03-21,32.45,32.6,32.9,32.35,7522500
18-03-21,33.2,33.3,33.5,33.0,7073300
19-03-21,33.1,33.3,34.0,33.1,11156300
22-03-21,33.6,33.4,33.75,33.2,7606900
23-03-21,33.4,32.9,33.4,32.55,8829200
24-03-21,32.3,31.3,32.75,31.0,13279700
25-03-21,31.5,30.8,31.75,30.7,13265200
26-03-21,30.65,30.9,31.1,29.4,10140300
29-03-21,31.3,31.4,31.45,31.0,5694300
30-03-21,31.9,31.8,31.9,31.2,7282100
31-03-21,31.7,31.75,32.15,31.65,7641900
01-04-21,31.8,33.95,33.95,31.75,21897600
02-04-21,34.9,34.3,34.95,34.05,13802300
05-04-21,35.0,35.0,35.5,34.4,18659500
06-04-21,34.5,35.0,35.3,34.5,15886800
07-04-21,35.0,35.35,35.5,34.8,13001600
08-04-21,35.7,35.2,35.7,34.95,10999100
09-04-21,35.1,35.25,35.7,35.0,11376200
