Date,Open,Close,High,Low,Volume
16-11-20,14.5,14.85,14.85,14.5,570
17-11-20,14.7,14.3,14.7,14.3,130
18-11-20,14.4,14.3,14.4,14.3,1500
19-11-20,14.1,14.8,14.85,14.1,1020
20-11-20,14.65,14.7,14.75,13.8,250
23-11-20,15.1,14.5,15.1,14.5,1100
24-11-20,14.4,14.4,14.75,14.4,360
25-11-20,15.0,14.3,15.0,14.3,770
26-11-20,14.3,14.25,14.5,14.2,1580
27-11-20,14.6,14.6,14.6,14.3,2780
30-11-20,14.1,14.15,14.2,14.1,3050
01-12-20,14.15,14.5,14.55,14.1,1320
02-12-20,14.5,14.75,14.75,14.5,1080
03-12-20,14.2,14.6,14.6,14.0,7180
04-12-20,14.5,14.5,14.5,14.5,500
07-12-20,14.6,14.55,14.6,14.5,8340
08-12-20,14.8,14.6,14.85,14.5,760
09-12-20,14.5,14.5,14.7,14.3,2000
10-12-20,14.5,14.8,14.8,14.3,11100
11-12-20,14.2,14.2,14.2,14.2,500
14-12-20,14.4,14.4,14.4,14.25,590
15-12-20,14.5,14.5,14.5,14.3,14340
16-12-20,14.4,14.4,14.7,14.4,850
17-12-20,14.4,14.3,14.4,14.1,4720
18-12-20,14.6,14.7,14.7,14.0,37570
21-12-20,14.5,14.8,14.95,14.5,10540
22-12-20,14.9,15.0,15.0,14.7,18120
23-12-20,14.8,15.1,15.1,14.8,8480
24-12-20,14.9,14.8,14.9,14.2,5310
25-12-20,14.3,14.85,15.0,14.3,8790
28-12-20,14.85,15.0,15.1,14.85,530
29-12-20,14.85,15.1,15.1,14.8,4130
30-12-20,14.85,14.95,14.95,14.7,21380
31-12-20,15.0,15.2,15.2,14.9,25710
04-01-21,15.2,16.25,16.25,15.2,29400
05-01-21,17.35,17.0,17.35,16.5,27600
06-01-21,17.0,17.0,17.5,17.0,1800
07-01-21,16.3,16.8,16.8,15.9,7700
08-01-21,17.25,16.8,17.25,16.8,2000
11-01-21,16.8,16.1,16.8,16.0,24600
12-01-21,16.0,15.9,16.0,15.9,6300
13-01-21,15.9,16.7,16.8,15.9,34300
14-01-21,17.2,16.2,17.2,16.2,6400
15-01-21,16.95,15.8,16.95,15.8,27700
