Date,Open,Close,High,Low,Volume
16-11-20,71.6,71.6,71.6,71.6,290
17-11-20,71.6,71.6,71.6,71.6,0
18-11-20,73.0,73.0,73.0,73.0,220
19-11-20,73.1,73.0,73.1,73.0,470
20-11-20,73.0,73.0,73.0,73.0,0
23-11-20,73.0,73.0,73.0,73.0,0
24-11-20,73.0,73.0,73.0,73.0,0
25-11-20,71.5,71.5,71.5,71.5,100
26-11-20,71.5,71.5,71.5,71.5,0
27-11-20,71.4,71.4,71.4,71.4,300
30-11-20,70.1,71.4,71.4,70.1,410
01-12-20,70.0,70.0,70.0,70.0,1410
02-12-20,70.1,70.2,73.1,70.0,8090
03-12-20,70.2,70.2,70.2,70.2,0
04-12-20,69.2,70.0,70.2,69.1,5360
07-12-20,70.0,70.0,70.0,70.0,0
08-12-20,69.2,72.4,72.4,69.2,40
09-12-20,72.4,72.4,72.4,72.4,10
10-12-20,72.9,73.1,73.1,72.9,5800
11-12-20,70.1,70.1,70.1,70.1,50
14-12-20,70.5,70.5,70.5,70.5,120
15-12-20,66.3,70.5,70.5,66.3,40
16-12-20,69.1,71.5,71.5,69.1,30
17-12-20,70.5,70.5,70.5,70.5,650
18-12-20,69.1,71.5,71.5,69.1,70
21-12-20,71.5,71.5,71.5,71.5,0
22-12-20,72.8,72.8,72.8,72.8,10
23-12-20,72.8,72.8,72.8,72.8,0
24-12-20,70.0,69.5,70.0,69.2,90
25-12-20,69.2,69.3,69.3,69.2,210
28-12-20,69.3,69.0,69.3,69.0,140
29-12-20,69.0,69.5,69.5,69.0,90
30-12-20,69.0,69.0,69.0,69.0,20
31-12-20,70.0,69.0,70.0,69.0,7360
04-01-21,69.0,69.0,69.0,69.0,0
05-01-21,69.0,71.0,71.0,69.0,5200
06-01-21,72.0,72.0,72.0,72.0,5600
07-01-21,72.0,72.0,72.0,72.0,0
08-01-21,72.0,72.0,72.0,72.0,400
11-01-21,72.0,72.0,72.0,72.0,0
12-01-21,72.0,72.0,72.0,72.0,0
13-01-21,69.1,71.0,71.0,69.1,1600
14-01-21,71.0,71.0,71.0,71.0,0
15-01-21,71.0,71.0,71.0,71.0,500
18-01-21,72.5,72.4,72.5,72.4,800
19-01-21,69.5,69.0,69.5,69.0,200
20-01-21,69.1,69.0,69.1,69.0,54400
21-01-21,69.0,70.0,70.0,69.0,15400
22-01-21,70.0,70.0,70.0,70.0,0
25-01-21,70.0,70.0,70.0,70.0,0
26-01-21,70.0,70.0,70.0,70.0,100
27-01-21,70.0,70.0,70.0,70.0,0
28-01-21,74.8,74.8,74.8,74.8,100
29-01-21,74.8,74.8,74.8,74.8,0
01-02-21,74.0,74.0,74.0,70.0,6800
02-02-21,74.0,74.0,74.0,74.0,0
03-02-21,74.0,74.0,74.0,74.0,0
04-02-21,74.0,74.0,74.0,74.0,0
05-02-21,74.0,74.0,74.0,74.0,0
08-02-21,74.0,74.0,74.0,74.0,0
09-02-21,74.0,74.0,74.0,74.0,0
17-02-21,74.0,74.0,74.0,74.0,0
18-02-21,74.0,74.0,74.0,74.0,0
19-02-21,74.0,74.0,74.0,74.0,0
22-02-21,74.0,74.0,74.0,74.0,0
