Date,Open,Close,High,Low,Volume
16-11-20,76.3,76.3,76.3,76.3,300
17-11-20,76.3,76.3,76.3,76.3,1000
18-11-20,76.3,76.3,76.3,76.3,0
19-11-20,76.2,76.2,76.2,76.2,10
20-11-20,76.2,76.2,76.2,76.2,0
23-11-20,76.2,76.2,76.2,76.2,0
24-11-20,81.5,81.5,81.5,81.5,320
25-11-20,81.5,81.5,81.5,81.5,0
26-11-20,79.4,75.8,79.4,75.8,1150
27-11-20,76.6,80.0,80.0,76.6,110
30-11-20,79.4,79.9,80.0,74.4,2790
01-12-20,84.0,84.0,84.0,84.0,10
02-12-20,80.0,80.0,80.0,80.0,10
03-12-20,74.4,80.0,80.0,74.4,250
04-12-20,74.8,79.4,79.4,74.5,100
07-12-20,79.4,80.0,80.0,73.9,4740
08-12-20,81.9,75.1,81.9,75.1,120
09-12-20,75.1,75.2,75.2,75.1,470
10-12-20,76.0,79.5,79.5,76.0,730
11-12-20,79.4,76.5,79.4,76.5,200
14-12-20,81.4,81.5,81.8,80.0,2490
15-12-20,81.6,84.0,84.0,81.6,1460
16-12-20,85.0,89.8,89.8,85.0,2530
17-12-20,89.8,96.0,96.0,89.8,2490
18-12-20,102.7,102.7,102.7,102.7,4640
21-12-20,109.8,107.0,109.8,96.0,5360
22-12-20,109.0,100.0,109.0,100.0,870
23-12-20,93.0,93.0,93.0,93.0,3460
24-12-20,93.0,90.0,93.0,86.5,2350
25-12-20,87.0,94.0,94.0,83.8,2640
28-12-20,88.5,93.7,93.7,88.5,160
29-12-20,94.0,95.0,95.0,94.0,640
30-12-20,94.5,93.9,94.5,89.5,980
31-12-20,90.0,90.0,92.0,90.0,1390
04-01-21,85.5,91.4,91.4,85.5,2300
05-01-21,91.4,91.4,91.4,91.4,0
06-01-21,86.6,86.6,86.6,86.6,100
07-01-21,86.6,86.4,86.8,86.4,1500
08-01-21,86.4,86.4,86.4,86.4,200
11-01-21,86.0,86.0,86.0,86.0,100
12-01-21,83.1,89.0,89.0,83.1,800
13-01-21,83.0,88.7,88.7,82.8,600
14-01-21,88.7,88.7,88.7,88.7,0
15-01-21,87.6,87.6,87.6,87.6,100
18-01-21,85.0,89.0,91.8,85.0,400
19-01-21,82.9,82.9,85.8,82.9,500
20-01-21,88.3,84.8,88.3,77.2,400
21-01-21,80.1,87.0,87.8,80.0,1900
22-01-21,81.1,86.4,86.4,81.1,400
25-01-21,86.0,82.0,86.0,82.0,2100
26-01-21,77.3,79.7,79.7,77.0,1600
27-01-21,83.5,75.6,83.5,75.6,900
28-01-21,75.6,74.0,75.6,74.0,1300
29-01-21,73.9,78.8,78.8,73.9,2700
01-02-21,79.9,79.9,79.9,79.9,100
02-02-21,80.5,80.5,80.5,80.5,100
03-02-21,81.0,84.8,84.8,81.0,900
04-02-21,85.0,86.2,86.2,84.5,800
05-02-21,84.0,84.0,84.0,84.0,1200
08-02-21,84.0,84.0,84.0,84.0,100
09-02-21,84.0,84.0,84.0,84.0,0
17-02-21,88.9,87.9,88.9,87.9,600
18-02-21,89.8,89.0,90.0,88.0,1900
19-02-21,89.0,89.0,89.0,89.0,0
22-02-21,89.0,89.0,90.0,89.0,1700
23-02-21,89.0,89.0,89.0,89.0,0
24-02-21,83.0,83.0,83.0,83.0,300
25-02-21,83.0,85.0,88.8,83.0,1500
26-02-21,85.0,85.0,85.0,85.0,100
01-03-21,85.0,85.0,85.0,85.0,200
02-03-21,81.9,89.8,89.8,81.9,1100
03-03-21,85.0,85.0,85.0,85.0,100
04-03-21,85.0,85.0,85.0,85.0,0
05-03-21,80.3,84.5,84.5,79.1,1300
08-03-21,84.5,84.5,84.5,84.5,0
09-03-21,87.8,87.8,87.8,87.8,100
10-03-21,85.0,85.1,85.1,85.0,800
11-03-21,84.9,85.0,85.0,84.9,400
12-03-21,85.0,85.0,85.0,85.0,0
15-03-21,85.0,85.0,85.0,85.0,0
16-03-21,83.0,83.2,86.9,83.0,600
17-03-21,83.2,83.2,83.2,83.2,0
18-03-21,83.2,83.2,83.2,83.2,0
19-03-21,84.9,84.0,84.9,84.0,600
22-03-21,85.9,85.9,85.9,85.9,100
23-03-21,85.9,85.9,85.9,85.9,0
24-03-21,85.9,88.9,88.9,85.9,200
25-03-21,82.7,82.7,82.7,82.7,5100
26-03-21,79.6,79.7,84.9,79.6,300
29-03-21,84.8,81.3,84.8,80.7,500
30-03-21,81.3,81.3,81.3,81.3,0
31-03-21,86.7,86.7,86.7,86.7,100
01-04-21,81.0,80.7,81.0,80.7,7900
02-04-21,82.9,82.9,82.9,82.9,100
05-04-21,80.1,80.1,80.1,80.1,100
06-04-21,80.0,82.9,82.9,80.0,400
07-04-21,85.6,85.6,85.6,85.6,100
08-04-21,85.6,85.6,85.6,85.6,0
09-04-21,82.6,82.6,82.6,82.6,100
12-04-21,82.0,84.8,84.8,81.9,400
13-04-21,84.8,84.8,84.8,84.8,0
14-04-21,84.8,84.8,84.8,84.8,0
15-04-21,79.0,83.1,83.8,79.0,1900
16-04-21,83.1,83.1,83.1,83.1,0
19-04-21,83.1,83.1,83.1,83.1,0
20-04-21,86.3,86.3,86.3,86.3,100
22-04-21,80.3,80.3,80.3,80.3,400
23-04-21,79.9,80.0,80.0,79.9,300
26-04-21,80.0,80.0,80.0,80.0,0
27-04-21,84.8,82.9,84.8,79.9,500
28-04-21,82.9,82.9,82.9,82.9,0
29-04-21,82.9,82.9,82.9,82.9,0
04-05-21,82.9,82.9,82.9,82.9,0
05-05-21,82.9,82.9,82.9,82.9,0
06-05-21,80.5,80.5,80.5,80.5,100
07-05-21,83.7,82.5,83.7,82.5,200
10-05-21,82.5,82.5,82.5,82.5,0
11-05-21,77.0,80.6,80.6,76.8,1400
12-05-21,76.2,76.6,79.9,76.2,400
13-05-21,76.6,78.0,80.4,76.6,400
14-05-21,82.9,81.9,82.9,81.9,2800
17-05-21,84.8,81.5,84.8,77.5,1500
18-05-21,80.9,80.9,80.9,80.9,200
19-05-21,82.4,82.4,82.4,82.4,100
20-05-21,82.4,82.4,82.4,82.4,0
21-05-21,82.4,82.4,82.4,82.4,0
24-05-21,82.4,82.4,82.4,82.4,0
25-05-21,82.4,82.4,82.4,82.4,0
26-05-21,77.0,81.3,81.3,77.0,400
27-05-21,81.0,81.0,81.0,81.0,100
28-05-21,81.0,80.9,81.0,80.9,200
31-05-21,80.9,80.9,80.9,80.9,0
01-06-21,85.0,85.0,85.0,85.0,100
02-06-21,81.9,81.9,81.9,81.9,100
03-06-21,81.9,81.9,81.9,81.9,0
04-06-21,81.9,81.9,81.9,81.9,0
07-06-21,76.7,76.7,76.7,76.7,200
08-06-21,76.8,81.0,81.0,76.8,200
09-06-21,83.7,83.7,83.7,83.7,100
10-06-21,83.7,83.7,83.7,83.7,0
11-06-21,83.7,83.7,83.7,83.7,0
14-06-21,83.7,83.7,83.7,83.7,0
15-06-21,83.7,83.7,83.7,83.7,0
16-06-21,83.7,83.7,83.7,83.7,0
17-06-21,78.0,78.0,78.0,78.0,400
18-06-21,75.2,78.9,79.8,75.2,2000
21-06-21,83.8,82.9,83.8,77.0,500
22-06-21,80.0,81.9,82.4,78.0,2000
23-06-21,76.7,76.7,76.7,76.7,100
24-06-21,76.7,76.7,76.7,76.7,0
25-06-21,76.7,76.7,76.7,76.7,0
28-06-21,79.3,79.0,79.3,79.0,200
29-06-21,79.8,78.6,79.8,78.6,200
30-06-21,79.5,76.3,79.5,76.3,400
01-07-21,79.8,75.3,79.8,75.3,2400
