Date,Open,Close,High,Low,Volume
16-11-20,26.35,25.85,26.5,25.6,1085540
17-11-20,25.85,26.35,26.4,25.85,801230
18-11-20,26.4,27.7,27.8,26.25,2200930
19-11-20,27.7,27.5,28.35,27.35,1587480
20-11-20,27.5,28.2,28.4,27.0,1388480
23-11-20,28.2,28.2,28.5,27.85,1193270
24-11-20,28.25,27.9,28.3,27.5,1589960
25-11-20,28.0,29.2,29.8,27.6,2629930
26-11-20,29.25,29.5,29.95,29.1,1086680
27-11-20,29.5,29.2,29.7,29.15,759450
30-11-20,29.45,28.7,29.45,28.7,1090640
01-12-20,28.0,29.15,29.55,27.9,1780510
02-12-20,29.4,30.0,30.4,29.0,1624980
03-12-20,29.9,30.0,30.55,29.85,788960
04-12-20,30.05,29.55,30.35,29.4,972200
07-12-20,29.45,29.55,29.9,29.4,867690
08-12-20,29.65,29.6,30.0,29.2,844910
09-12-20,29.8,29.6,30.45,29.55,906050
10-12-20,29.6,28.8,29.8,28.8,1616470
11-12-20,28.9,28.9,29.1,28.35,1190660
14-12-20,29.0,29.7,29.8,28.95,994820
15-12-20,29.6,31.3,31.7,29.4,2952380
16-12-20,31.1,31.3,32.1,31.0,1038490
17-12-20,31.2,31.2,32.0,30.8,1065140
18-12-20,31.15,32.3,32.5,30.95,1787730
21-12-20,32.3,32.6,33.75,32.1,1404260
22-12-20,32.6,33.5,33.8,32.5,1205730
23-12-20,33.5,32.0,33.7,31.2,1228790
24-12-20,32.0,31.05,32.0,29.8,1953090
25-12-20,30.95,32.2,32.2,29.8,1392730
28-12-20,32.3,32.75,33.0,32.0,1176450
29-12-20,32.5,32.6,32.8,32.05,910290
30-12-20,32.6,32.0,32.6,31.8,1466940
31-12-20,31.85,32.0,32.2,31.6,1167140
04-01-21,32.5,34.2,34.2,32.5,1962000
05-01-21,34.2,36.5,36.5,34.2,1950200
06-01-21,38.0,37.0,38.0,36.6,1532800
07-01-21,37.1,37.2,37.45,36.5,1247700
08-01-21,37.2,37.45,38.0,37.0,904800
11-01-21,37.6,39.4,40.0,36.95,1137300
12-01-21,39.3,39.4,39.4,37.95,592700
13-01-21,39.4,39.2,39.8,38.9,928500
14-01-21,39.2,39.4,39.5,38.5,728500
15-01-21,39.6,40.9,42.0,39.45,1023900
18-01-21,41.3,40.5,42.0,40.1,1132600
19-01-21,40.5,37.7,41.5,37.7,1324800
20-01-21,37.8,37.7,38.3,35.1,1431000
21-01-21,38.0,39.65,39.65,37.0,1285800
22-01-21,39.6,38.95,40.6,38.7,1519600
25-01-21,38.5,39.3,39.95,38.3,891800
26-01-21,39.7,39.5,40.2,38.3,1389600
27-01-21,39.5,42.25,42.25,39.3,4175400
28-01-21,40.5,39.3,44.0,39.3,2179200
29-01-21,39.35,42.0,42.05,39.35,1442700
01-02-21,41.0,39.1,42.4,39.1,1823300
02-02-21,36.4,36.9,39.0,36.4,3070800
03-02-21,38.7,37.6,38.8,34.5,1633300
04-02-21,37.3,37.95,39.3,36.8,865300
05-02-21,37.95,37.9,38.0,37.1,1095200
08-02-21,37.5,36.0,38.6,35.3,1360600
09-02-21,35.8,37.05,37.35,35.6,841700
