Date,Open,Close,High,Low,Volume
16-11-20,50.5,50.3,50.7,49.5,34690
17-11-20,50.4,51.0,51.0,50.0,56200
18-11-20,51.6,52.0,52.0,51.1,95140
19-11-20,51.8,52.0,52.4,51.5,38990
20-11-20,52.0,52.0,52.2,51.5,24770
23-11-20,52.9,52.2,52.9,51.9,63490
24-11-20,52.2,51.2,52.3,51.2,72950
25-11-20,51.5,53.0,53.5,51.2,139850
26-11-20,53.0,53.1,53.1,52.0,50140
27-11-20,53.1,53.3,53.3,52.7,30950
30-11-20,53.2,52.7,54.2,52.7,80600
01-12-20,52.5,53.6,54.4,52.3,88180
02-12-20,53.6,53.9,54.1,53.1,43690
03-12-20,53.9,53.8,54.1,53.5,32800
04-12-20,54.3,53.4,54.3,53.1,69140
07-12-20,53.2,53.6,53.8,53.0,33470
08-12-20,53.3,53.4,53.6,53.1,17810
09-12-20,53.4,54.0,54.4,53.3,54680
10-12-20,54.0,53.2,54.3,53.2,36500
11-12-20,53.3,53.2,53.3,53.0,43440
14-12-20,53.2,53.4,53.9,53.2,34500
15-12-20,53.5,55.3,56.5,53.5,111480
16-12-20,55.4,56.2,57.0,55.4,38300
17-12-20,56.1,56.3,56.9,55.8,64750
18-12-20,56.3,56.4,56.6,56.1,22560
21-12-20,56.5,56.5,57.3,56.5,21530
22-12-20,56.5,56.9,57.3,56.1,56070
23-12-20,57.0,56.5,57.0,56.2,35390
24-12-20,56.5,54.8,56.5,53.0,53520
25-12-20,54.7,55.4,55.8,54.5,28520
28-12-20,55.4,55.5,56.0,55.0,10160
29-12-20,55.1,54.4,55.1,54.4,44460
30-12-20,54.4,54.5,55.4,54.4,26830
31-12-20,54.5,54.5,55.2,54.2,24520
04-01-21,54.6,57.1,58.0,54.6,39600
05-01-21,56.6,57.1,57.5,56.6,24800
06-01-21,56.9,56.5,57.5,56.5,32100
07-01-21,57.3,56.8,57.3,56.5,30200
08-01-21,57.2,56.9,57.3,56.6,43700
11-01-21,57.0,58.8,59.0,56.6,66100
12-01-21,58.8,58.5,58.8,58.3,13800
13-01-21,58.5,58.1,58.8,58.0,31900
14-01-21,58.1,58.0,58.1,57.6,28700
15-01-21,58.1,58.5,58.8,58.0,35600
18-01-21,58.6,58.8,59.5,58.6,55200
19-01-21,58.7,54.8,59.5,54.7,77800
20-01-21,54.7,54.4,54.9,53.7,52800
21-01-21,54.4,55.0,56.0,54.2,50900
22-01-21,55.3,54.8,55.3,54.2,34100
25-01-21,54.8,54.8,56.2,54.3,17600
26-01-21,54.4,53.1,54.4,53.0,47200
27-01-21,53.2,53.0,54.5,53.0,63300
28-01-21,52.5,49.3,52.5,49.3,114900
29-01-21,49.1,52.7,52.7,49.1,16100
01-02-21,52.7,52.5,53.0,50.5,36000
02-02-21,50.5,51.2,51.2,50.5,11500
03-02-21,52.0,52.2,52.2,51.0,11200
04-02-21,52.0,52.6,52.6,51.5,5300
05-02-21,52.0,52.2,52.5,52.0,3300
08-02-21,52.2,51.5,52.2,50.1,15000
09-02-21,50.2,52.5,52.5,50.2,10900
17-02-21,52.7,54.1,54.1,52.7,12200
18-02-21,54.1,54.1,54.5,53.3,28800
19-02-21,53.8,54.1,54.1,53.6,12300
22-02-21,53.6,53.7,54.1,53.5,15300
23-02-21,53.8,53.5,53.8,53.2,19200
24-02-21,53.5,53.4,53.5,52.7,30000
25-02-21,56.9,54.3,56.9,53.7,38300
26-02-21,54.0,54.4,54.4,53.7,15700
01-03-21,53.6,54.6,54.6,53.6,24500
02-03-21,54.8,54.9,55.0,54.5,25600
03-03-21,55.2,54.9,55.2,54.6,19300
04-03-21,55.0,54.5,55.0,54.2,20500
05-03-21,54.5,54.3,54.5,53.0,5600
08-03-21,54.3,54.3,54.3,53.9,14700
09-03-21,54.0,54.8,54.8,53.9,8500
10-03-21,55.2,55.0,55.2,54.0,17800
11-03-21,55.0,56.4,58.0,55.0,14400
12-03-21,56.4,56.0,56.5,55.1,11300
15-03-21,55.8,55.5,55.8,54.8,45400
16-03-21,55.5,54.5,55.5,54.4,22300
17-03-21,54.5,54.5,54.5,54.2,21100
18-03-21,54.5,54.5,54.5,54.1,19500
19-03-21,54.9,54.3,54.9,54.2,7300
22-03-21,55.0,55.0,56.3,54.0,25100
23-03-21,55.4,53.9,55.4,53.9,13700
24-03-21,53.9,52.0,53.9,52.0,32400
25-03-21,52.0,52.9,53.4,50.9,22300
26-03-21,51.1,52.0,52.8,49.2,69800
29-03-21,53.0,51.9,53.1,51.0,20500
30-03-21,51.0,51.9,51.9,51.0,9700
31-03-21,52.9,51.8,52.9,51.0,15500
01-04-21,51.1,52.3,52.3,51.0,5700
02-04-21,52.3,52.6,52.7,51.5,16700
05-04-21,52.1,52.3,52.5,51.9,14000
06-04-21,52.3,52.2,52.5,52.1,16300
07-04-21,52.0,52.3,52.3,52.0,8300
08-04-21,52.3,52.3,52.3,51.8,16600
09-04-21,52.2,52.3,52.3,51.6,16600
12-04-21,52.0,52.3,52.3,51.7,13100
13-04-21,52.3,52.3,52.8,51.7,17200
14-04-21,52.2,51.9,52.3,51.6,5200
15-04-21,51.9,51.5,52.1,51.4,13200
16-04-21,51.4,50.7,51.4,50.5,15800
19-04-21,50.5,51.3,51.3,49.3,16400
20-04-21,50.0,50.5,51.3,49.6,15000
22-04-21,50.7,50.0,50.7,49.8,22700
23-04-21,49.25,49.9,49.9,49.25,8800
26-04-21,49.4,51.0,52.0,49.3,2400
27-04-21,49.3,50.6,50.8,49.3,1600
28-04-21,49.4,50.5,50.5,49.3,5300
29-04-21,50.5,50.4,50.5,49.6,3200
