Date,Open,Close,High,Low,Volume
16-11-20,24.8,24.8,24.9,24.7,15830
17-11-20,24.8,24.85,25.0,24.8,36500
18-11-20,24.85,25.0,25.0,24.85,4300
19-11-20,24.75,24.95,25.0,24.75,190
20-11-20,25.0,24.95,25.0,24.75,28420
23-11-20,24.8,24.7,24.85,24.5,9530
24-11-20,24.5,24.6,24.7,24.1,15600
25-11-20,24.3,24.8,24.9,24.3,10130
26-11-20,24.6,24.4,24.75,24.4,4780
27-11-20,24.4,24.7,24.7,24.35,4560
30-11-20,24.7,24.65,24.7,24.4,2550
01-12-20,24.7,24.65,24.7,24.5,4770
02-12-20,24.65,24.7,24.7,24.65,14180
03-12-20,24.7,24.6,24.7,24.6,3930
04-12-20,24.75,24.7,24.75,24.5,14440
07-12-20,24.5,24.7,24.7,24.5,7760
08-12-20,24.7,24.7,24.7,24.5,4730
09-12-20,24.6,24.8,24.8,24.6,13030
10-12-20,24.8,24.8,24.8,24.6,4770
11-12-20,24.7,24.65,24.7,24.65,5250
14-12-20,24.65,24.65,24.75,24.65,4020
15-12-20,24.65,25.35,26.1,24.6,256270
16-12-20,25.35,25.15,25.35,25.1,18850
17-12-20,25.1,24.9,25.1,24.9,4350
18-12-20,24.8,24.8,24.9,24.7,13270
21-12-20,24.7,25.0,25.0,24.7,16780
22-12-20,24.8,25.0,25.0,24.8,10910
23-12-20,25.0,25.45,25.45,25.0,11990
24-12-20,25.0,25.0,25.05,25.0,3120
25-12-20,25.0,25.1,25.2,24.9,9230
28-12-20,25.0,25.0,25.0,24.85,1610
29-12-20,25.0,25.0,25.05,24.9,4030
30-12-20,25.0,25.0,25.8,24.8,4820
31-12-20,25.1,25.1,25.2,24.9,4690
04-01-21,25.2,25.4,25.6,25.2,43800
05-01-21,25.4,25.5,25.6,25.0,26600
06-01-21,25.4,25.35,25.5,25.35,55300
07-01-21,25.4,25.35,25.4,25.35,19200
08-01-21,25.4,25.5,25.8,25.35,34900
11-01-21,25.8,25.4,25.8,25.4,6400
12-01-21,25.3,25.6,25.6,25.3,6500
13-01-21,25.5,25.5,25.5,25.2,5400
14-01-21,25.5,25.8,25.8,25.3,22800
15-01-21,25.9,25.8,26.0,25.8,2200
18-01-21,25.7,26.0,26.0,25.35,12300
19-01-21,25.25,25.2,25.4,25.2,24900
20-01-21,25.2,25.5,25.5,25.2,93400
21-01-21,25.5,26.0,26.5,25.5,109800
22-01-21,26.5,26.15,26.5,26.0,91200
