Date,Open,Close,High,Low,Volume
16-11-20,26.05,26.9,26.9,26.0,216650
17-11-20,27.2,27.1,27.45,27.0,178480
18-11-20,27.0,26.4,27.0,26.2,236810
19-11-20,26.4,26.7,27.0,26.2,110660
20-11-20,26.65,26.8,26.8,26.5,130700
23-11-20,26.8,26.5,26.9,26.4,115700
24-11-20,26.75,26.5,26.75,26.2,199520
25-11-20,26.65,26.45,26.65,26.3,58330
26-11-20,26.3,26.35,26.4,26.2,85510
27-11-20,26.4,26.4,26.4,26.1,100140
30-11-20,26.3,27.1,27.4,26.3,307690
01-12-20,27.0,27.95,27.95,26.6,344030
02-12-20,28.05,28.4,28.9,27.9,1003180
03-12-20,28.6,28.4,29.3,28.2,486340
04-12-20,28.35,28.0,28.35,27.8,419970
07-12-20,28.1,28.0,28.2,27.75,354100
08-12-20,28.0,28.8,29.35,27.9,420260
09-12-20,29.1,28.55,29.1,28.3,222250
10-12-20,28.7,28.0,28.9,28.0,452910
11-12-20,28.0,28.3,28.3,27.5,239700
14-12-20,28.75,28.35,29.0,28.2,324370
15-12-20,28.35,28.2,28.5,28.0,218890
16-12-20,28.5,28.45,28.7,28.15,345530
17-12-20,28.6,28.5,28.85,28.5,316190
18-12-20,28.9,28.55,28.9,28.5,186570
21-12-20,28.55,28.4,28.8,28.3,305960
22-12-20,28.2,28.25,28.4,28.1,260250
23-12-20,28.15,28.5,28.7,28.15,368490
24-12-20,28.6,28.0,28.6,27.5,208330
25-12-20,28.0,28.3,28.3,27.8,158170
28-12-20,28.2,28.0,28.4,27.9,302570
29-12-20,28.0,28.25,28.25,28.0,190680
30-12-20,28.35,28.3,28.7,28.25,323010
31-12-20,28.3,28.3,28.5,28.2,188220
04-01-21,28.35,30.0,30.0,28.3,993300
05-01-21,29.95,30.2,30.6,29.65,456500
06-01-21,30.2,29.95,30.25,29.85,255100
07-01-21,29.95,30.3,30.95,29.3,394100
08-01-21,30.4,29.85,30.6,29.75,255200
11-01-21,30.3,30.1,30.3,29.85,235100
12-01-21,30.0,31.6,31.6,29.85,527100
13-01-21,32.2,31.05,32.4,30.9,361400
14-01-21,31.2,30.7,31.3,30.6,239100
15-01-21,30.7,30.85,31.2,30.7,268100
18-01-21,31.0,30.55,31.15,30.5,333500
19-01-21,30.55,28.9,30.55,28.45,320400
20-01-21,28.9,28.25,28.9,27.0,330600
21-01-21,28.9,29.0,29.0,28.25,260100
22-01-21,29.5,29.7,29.9,29.05,222300
25-01-21,29.2,29.5,29.75,29.2,87500
26-01-21,29.5,28.45,29.5,28.3,180500
27-01-21,28.6,27.65,28.6,27.3,242800
28-01-21,26.0,25.75,27.0,25.75,552800
29-01-21,25.75,27.2,27.55,25.0,157800
01-02-21,27.25,26.4,27.25,26.4,162300
02-02-21,26.4,27.0,27.5,26.4,117000
03-02-21,27.3,28.0,28.1,27.2,227300
04-02-21,28.2,28.0,28.2,26.2,146400
05-02-21,28.1,28.35,28.4,28.0,127500
08-02-21,28.6,27.55,28.6,27.2,102900
09-02-21,27.5,28.4,28.4,27.5,91400
17-02-21,28.4,28.8,28.85,28.3,100600
18-02-21,28.8,28.7,28.8,28.5,179400
19-02-21,28.7,28.8,28.85,28.4,120300
22-02-21,28.8,28.9,29.4,28.7,239500
23-02-21,29.25,28.95,29.25,28.8,156800
24-02-21,28.95,29.5,29.9,28.9,346100
25-02-21,29.6,29.4,29.7,29.15,178400
26-02-21,29.4,29.25,29.4,28.95,123000
01-03-21,29.6,29.6,29.6,29.25,143800
02-03-21,29.8,29.95,30.0,29.7,217400
03-03-21,29.95,30.0,30.25,29.7,215100
04-03-21,30.0,29.5,30.0,29.4,221800
05-03-21,29.5,29.75,29.95,29.0,210000
08-03-21,29.8,29.75,30.05,29.65,231800
09-03-21,29.95,29.85,30.0,29.6,157600
10-03-21,29.85,29.95,29.95,29.75,108700
11-03-21,30.05,31.2,31.45,30.0,557900
12-03-21,31.2,30.9,31.3,30.8,122700
15-03-21,30.95,30.75,31.15,30.7,151300
16-03-21,30.75,30.4,30.8,30.4,210400
17-03-21,30.65,30.9,31.3,30.65,263500
18-03-21,31.1,30.8,31.2,30.6,100400
19-03-21,30.7,30.6,30.8,30.6,104400
22-03-21,30.6,30.6,30.8,30.55,193700
23-03-21,30.6,30.65,30.85,30.6,194300
24-03-21,30.6,29.95,30.65,29.95,183400
25-03-21,29.9,30.2,30.6,29.75,231800
26-03-21,29.8,30.2,30.55,29.7,140700
29-03-21,30.2,30.6,30.6,30.15,112200
30-03-21,30.85,30.7,30.85,30.5,117000
31-03-21,30.7,30.6,30.75,30.5,97700
01-04-21,30.85,30.85,30.85,30.6,145400
02-04-21,31.0,30.8,31.2,30.75,156700
05-04-21,31.0,30.75,31.0,30.6,117300
06-04-21,30.7,30.7,31.0,30.5,122400
07-04-21,30.7,31.7,31.8,30.55,343700
08-04-21,31.7,31.4,32.0,31.25,187800
09-04-21,31.3,31.4,31.5,31.2,62700
12-04-21,31.2,31.35,31.4,31.05,137900
13-04-21,31.35,30.8,31.35,30.8,238700
14-04-21,30.5,30.85,30.9,30.4,165900
15-04-21,30.85,30.85,31.0,30.6,122200
16-04-21,30.85,30.2,30.9,29.9,147200
19-04-21,30.2,30.4,30.5,30.2,81800
20-04-21,30.45,30.4,30.6,30.2,95800
22-04-21,30.4,29.7,30.4,29.7,114500
23-04-21,29.7,29.85,29.9,29.5,140000
26-04-21,29.9,29.4,30.5,29.1,86700
27-04-21,29.45,29.9,29.9,29.4,30700
28-04-21,30.5,30.0,30.5,29.95,18100
29-04-21,30.5,30.1,30.5,30.0,42000
04-05-21,30.0,29.7,30.0,29.6,86800
05-05-21,29.7,29.9,30.1,29.5,85000
06-05-21,30.3,29.9,30.3,29.6,47000
07-05-21,29.9,29.4,29.9,29.3,159100
10-05-21,29.4,29.4,29.5,28.9,158000
11-05-21,29.4,29.55,29.9,29.4,57200
12-05-21,29.55,29.65,29.8,29.45,43700
13-05-21,29.6,29.6,29.65,29.5,91500
14-05-21,29.6,30.35,30.5,29.55,129100
17-05-21,31.0,30.6,31.0,30.35,123200
18-05-21,30.5,30.4,30.5,30.2,33700
19-05-21,30.3,30.1,30.3,30.0,43500
20-05-21,30.1,30.1,30.5,29.8,79800
21-05-21,30.1,31.6,31.9,30.1,307100
24-05-21,31.9,32.4,32.85,31.8,219100
25-05-21,32.4,33.4,34.0,32.4,313300
26-05-21,34.0,34.95,35.0,33.5,576500
27-05-21,35.8,34.3,35.9,34.3,306800
28-05-21,34.3,34.6,34.9,34.3,146500
31-05-21,34.5,34.4,34.5,33.0,195700
01-06-21,34.5,33.7,34.7,33.5,128300
02-06-21,33.5,34.3,34.5,33.4,260100
03-06-21,34.9,34.95,34.95,34.5,261200
04-06-21,35.0,34.65,35.25,34.0,124900
07-06-21,34.2,34.45,34.7,34.2,110400
08-06-21,34.5,34.4,35.0,34.4,195200
09-06-21,34.4,34.8,34.9,34.3,187800
10-06-21,34.9,35.2,35.4,34.9,330700
11-06-21,35.3,35.8,36.5,35.3,347100
14-06-21,36.45,36.45,36.5,35.95,348300
15-06-21,36.45,37.0,37.4,36.35,432600
16-06-21,37.2,36.6,37.5,36.0,227900
17-06-21,36.5,37.4,37.6,36.4,315500
18-06-21,37.6,38.1,38.2,37.5,312300
21-06-21,38.2,37.55,38.3,37.5,337000
22-06-21,37.55,37.35,37.6,36.8,227000
23-06-21,37.35,36.8,37.35,36.5,209600
24-06-21,36.8,36.6,37.1,36.5,138500
25-06-21,36.6,37.8,37.9,36.6,179200
28-06-21,38.0,37.85,38.0,37.7,140500
29-06-21,37.5,37.8,37.9,37.5,149100
30-06-21,40.4,40.4,40.4,40.2,856400
01-07-21,41.2,42.0,42.9,41.0,835000
02-07-21,42.0,41.4,42.0,41.05,361200
05-07-21,41.4,40.75,41.4,40.4,416200
06-07-21,40.5,40.0,41.45,40.0,244800
07-07-21,39.75,40.0,40.05,39.0,275700
08-07-21,40.25,40.9,40.9,40.0,234800
09-07-21,41.0,40.35,41.0,40.0,241200
12-07-21,40.6,39.5,41.0,37.7,512900
13-07-21,40.0,39.9,40.5,39.5,287600
14-07-21,40.1,39.2,40.1,38.9,393200
15-07-21,32.0,32.4,33.5,32.0,307700
16-07-21,31.9,31.85,32.4,31.0,337200
19-07-21,30.1,29.85,31.0,29.7,412100
20-07-21,29.3,30.2,31.0,29.3,235700
21-07-21,30.5,30.5,30.8,30.35,240300
22-07-21,30.5,32.0,32.2,30.5,270500
23-07-21,32.0,31.85,32.8,31.5,244000
26-07-21,31.2,32.45,33.0,31.0,321200
27-07-21,33.0,32.2,33.0,32.0,189700
28-07-21,32.0,33.3,33.4,31.8,350400
29-07-21,33.5,33.55,33.9,33.3,235400
30-07-21,33.5,34.15,34.2,33.15,371100
02-08-21,34.2,35.8,36.05,33.9,420700
03-08-21,36.5,38.1,38.3,36.0,750600
04-08-21,38.9,37.4,39.05,37.3,595900
05-08-21,37.4,36.85,37.4,36.6,321500
06-08-21,36.9,37.8,38.5,36.9,497500
09-08-21,37.8,39.6,40.0,37.8,782300
10-08-21,40.5,40.15,40.6,38.8,700800
11-08-21,40.05,42.2,42.8,40.05,821000
12-08-21,42.2,39.25,42.2,39.25,1070400
13-08-21,38.35,39.95,40.2,37.5,574800
16-08-21,40.3,39.25,40.85,39.2,471000
17-08-21,39.2,38.2,39.3,38.05,414700
18-08-21,37.8,38.25,38.8,37.8,265700
19-08-21,38.0,38.7,39.15,38.0,236000
20-08-21,38.65,38.1,39.1,38.05,419000
23-08-21,37.6,37.8,38.4,37.6,237700
24-08-21,37.7,37.5,38.2,37.3,261400
25-08-21,37.5,37.85,37.85,37.0,112100
26-08-21,38.15,39.25,40.2,38.0,419000
27-08-21,39.25,39.2,39.85,38.8,312400
30-08-21,40.5,39.85,40.5,39.6,306600
31-08-21,39.4,39.2,39.85,39.0,324300
01-09-21,39.1,40.55,41.0,39.1,656900
06-09-21,40.9,41.7,41.85,40.9,680700
07-09-21,41.8,40.0,41.85,40.0,397800
08-09-21,39.8,39.0,39.9,38.55,429100
09-09-21,39.0,39.65,39.85,39.0,185600
10-09-21,39.65,39.7,40.2,39.4,232400
13-09-21,39.85,39.3,39.85,39.0,252700
14-09-21,39.3,38.9,39.5,38.9,217600
15-09-21,38.6,39.0,39.15,38.6,171000
16-09-21,39.15,38.95,39.15,38.65,165100
17-09-21,39.0,39.5,39.6,38.85,255500
20-09-21,39.5,39.2,40.05,39.1,327100
21-09-21,38.8,38.6,39.0,38.05,309100
22-09-21,38.9,39.05,39.2,38.05,159000
23-09-21,38.7,38.7,39.1,38.6,138500
24-09-21,38.4,38.45,38.6,38.3,164900
27-09-21,38.45,37.55,38.45,37.55,366200
28-09-21,37.55,37.5,37.8,37.0,162400
29-09-21,37.5,38.15,38.15,37.3,119200
30-09-21,38.5,38.45,38.8,38.3,78700
01-10-21,38.5,38.3,38.65,38.1,116900
04-10-21,38.3,38.4,38.6,37.8,96400
05-10-21,38.0,38.05,38.35,37.9,188800
06-10-21,38.3,38.25,38.9,38.1,115700
07-10-21,38.45,39.05,39.05,38.05,223000
08-10-21,39.4,39.85,40.5,39.4,409700
11-10-21,40.35,39.7,40.35,39.6,269300
12-10-21,39.0,39.15,39.7,39.0,125500
13-10-21,39.4,39.25,39.45,38.9,174900
14-10-21,38.9,39.45,39.45,38.9,181800
15-10-21,39.5,39.65,39.7,39.4,255700
18-10-21,39.75,41.0,41.4,39.75,953300
19-10-21,41.5,40.65,41.5,40.5,269200
20-10-21,40.65,39.5,40.8,39.0,222300
21-10-21,39.3,39.9,39.9,39.0,389700
22-10-21,39.6,39.2,39.7,39.1,254300
25-10-21,39.3,38.6,40.5,38.6,392400
26-10-21,38.65,39.5,39.5,38.1,171300
27-10-21,40.2,39.6,40.2,39.4,195400
28-10-21,39.9,39.75,39.9,39.25,241300
29-10-21,39.75,39.7,39.95,39.5,254700
01-11-21,39.85,40.2,40.5,39.8,289100
02-11-21,40.2,40.15,40.4,39.8,217700
03-11-21,40.3,39.9,41.2,39.8,474900
04-11-21,39.95,39.9,40.15,39.4,212200
05-11-21,40.0,40.2,40.3,39.65,238200
08-11-21,41.1,43.0,43.0,40.6,1099400
09-11-21,43.0,44.05,44.9,43.0,682700
10-11-21,44.0,43.6,44.0,43.2,230000
11-11-21,43.0,42.75,43.5,42.0,413800
12-11-21,42.5,43.6,43.6,41.65,541200
15-11-21,43.95,43.2,43.95,43.0,253000
16-11-21,42.95,44.5,45.0,42.05,725600
17-11-21,44.0,43.55,44.0,43.5,179300
18-11-21,43.55,42.8,43.55,42.8,319800
19-11-21,42.5,40.8,42.7,40.0,609700
22-11-21,39.8,39.85,40.7,39.65,362600
23-11-21,39.0,40.2,40.95,39.0,225900
24-11-21,41.4,40.2,41.4,40.0,176700
25-11-21,40.2,40.25,40.6,39.9,181000
26-11-21,40.3,40.0,40.6,39.9,214700
29-11-21,39.1,40.0,40.1,39.1,232000
30-11-21,40.5,40.05,40.5,39.9,168000
01-12-21,40.0,39.9,40.4,39.75,131700
02-12-21,40.0,39.95,40.5,39.95,103800
03-12-21,40.0,39.7,40.0,39.7,205900
06-12-21,39.85,39.2,39.85,38.6,223200
07-12-21,39.25,39.9,39.9,39.05,114800
08-12-21,40.1,39.9,40.1,39.5,59100
09-12-21,39.2,39.85,39.85,39.2,88800
10-12-21,39.8,39.6,39.85,39.5,57000
13-12-21,39.9,39.7,39.9,39.55,88900
14-12-21,39.7,40.0,40.1,39.65,88200
15-12-21,41.0,42.0,42.2,40.65,453500
16-12-21,42.5,41.9,42.6,41.8,175600
17-12-21,42.4,41.75,42.4,41.45,114000
20-12-21,41.5,40.7,41.5,40.2,219700
21-12-21,40.7,40.4,40.7,40.15,160000
22-12-21,40.45,40.0,41.1,40.0,193100
23-12-21,40.3,39.75,40.3,39.3,208600
24-12-21,39.5,40.0,40.0,39.5,112500
27-12-21,40.0,39.8,40.95,39.5,30200
28-12-21,39.9,39.6,39.9,39.55,75100
29-12-21,39.6,39.7,40.0,39.4,62800
30-12-21,39.7,40.1,40.75,39.7,110800
31-12-21,40.4,40.0,40.4,40.0,44700
04-01-22,40.1,40.5,40.6,39.8,105100
05-01-22,41.0,40.6,41.0,40.4,108300
06-01-22,40.6,40.5,40.7,40.2,182600
07-01-22,40.2,41.3,42.05,40.1,260500
10-01-22,41.3,40.7,41.6,40.5,187000
11-01-22,40.5,40.5,40.85,40.4,75300
