Date,Open,Close,High,Low,Volume
16-11-20,2.06,2.18,2.18,2.05,453650
17-11-20,2.2,2.19,2.22,2.11,773600
18-11-20,2.17,2.2,2.2,2.14,407650
19-11-20,2.19,2.1,2.2,2.09,892300
20-11-20,2.1,2.14,2.15,2.07,341320
23-11-20,2.12,2.09,2.13,2.09,382100
24-11-20,2.08,2.09,2.15,2.08,147260
25-11-20,2.1,2.16,2.18,2.1,477430
26-11-20,2.16,2.17,2.18,2.12,119500
27-11-20,2.18,2.13,2.18,2.09,163760
30-11-20,2.13,2.09,2.14,2.05,221160
01-12-20,2.0,2.05,2.08,1.98,367240
02-12-20,2.0,2.19,2.19,2.0,482100
03-12-20,2.34,2.34,2.34,2.34,141500
04-12-20,2.5,2.5,2.5,2.5,404330
07-12-20,2.67,2.67,2.67,2.67,458260
08-12-20,2.85,2.49,2.85,2.49,2262390
09-12-20,2.39,2.58,2.66,2.39,730820
10-12-20,2.6,2.5,2.64,2.45,444170
11-12-20,2.49,2.39,2.49,2.33,909740
14-12-20,2.48,2.35,2.48,2.3,507610
15-12-20,2.35,2.37,2.43,2.35,228880
16-12-20,2.37,2.36,2.41,2.35,337810
17-12-20,2.36,2.52,2.52,2.36,669080
18-12-20,2.69,2.61,2.69,2.5,865590
21-12-20,2.61,2.57,2.64,2.54,666050
22-12-20,2.57,2.73,2.73,2.51,825190
23-12-20,2.79,2.75,2.82,2.72,648870
24-12-20,2.79,2.6,2.79,2.56,588160
25-12-20,2.6,2.6,2.64,2.5,431090
28-12-20,2.6,2.64,2.7,2.6,645790
29-12-20,2.65,2.65,2.68,2.6,463820
30-12-20,2.65,2.65,2.68,2.6,387660
31-12-20,2.65,2.78,2.83,2.64,1272280
04-01-21,2.97,2.97,2.97,2.97,467100
05-01-21,3.17,3.17,3.17,3.17,708300
06-01-21,3.39,3.24,3.39,3.03,3010900
07-01-21,3.14,3.1,3.2,3.03,1103600
08-01-21,3.08,3.13,3.3,3.08,659700
11-01-21,3.1,3.29,3.29,3.07,935900
12-01-21,3.25,3.2,3.27,3.1,575600
13-01-21,3.22,3.3,3.35,3.2,1065600
14-01-21,3.34,3.25,3.34,3.23,520000
15-01-21,3.28,3.47,3.47,3.26,1012300
18-01-21,3.71,3.71,3.71,3.65,618800
19-01-21,3.76,3.46,3.93,3.46,1536700
20-01-21,3.4,3.25,3.5,3.22,1027300
21-01-21,3.45,3.47,3.47,3.3,938800
22-01-21,3.68,3.71,3.71,3.58,1000100
25-01-21,3.92,3.73,3.92,3.6,828700
26-01-21,3.73,3.47,3.74,3.47,772300
27-01-21,3.26,3.24,3.35,3.23,800000
28-01-21,3.03,3.02,3.21,3.02,753400
29-01-21,2.82,3.23,3.23,2.82,550000
01-02-21,3.44,3.2,3.44,3.15,566400
02-02-21,3.15,3.24,3.24,3.1,479400
03-02-21,3.3,3.46,3.46,3.25,576400
04-02-21,3.5,3.4,3.5,3.3,546100
05-02-21,3.3,3.33,3.48,3.3,219200
08-02-21,3.34,3.2,3.34,3.11,508000
09-02-21,3.25,3.32,3.32,3.22,372900
17-02-21,3.32,3.45,3.51,3.32,414300
18-02-21,3.45,3.36,3.5,3.35,680600
19-02-21,3.38,3.3,3.38,3.27,335400
22-02-21,3.39,3.32,3.39,3.3,371900
23-02-21,3.33,3.33,3.34,3.27,442100
24-02-21,3.39,3.3,3.39,3.25,373500
25-02-21,3.33,3.29,3.33,3.27,317200
26-02-21,3.26,3.26,3.26,3.21,415500
01-03-21,3.26,3.32,3.33,3.26,477500
02-03-21,3.38,3.34,3.38,3.3,311300
03-03-21,3.3,3.35,3.36,3.28,379300
04-03-21,3.41,3.32,3.41,3.29,536800
05-03-21,3.35,3.32,3.38,3.29,410800
08-03-21,3.36,3.55,3.55,3.36,811300
09-03-21,3.79,3.75,3.79,3.4,1800800
10-03-21,3.66,3.6,3.74,3.5,686100
11-03-21,3.53,3.6,3.6,3.53,719800
12-03-21,3.69,3.59,3.69,3.56,756300
15-03-21,3.59,3.7,3.78,3.59,741000
16-03-21,3.6,3.71,3.78,3.6,842500
17-03-21,3.7,3.65,3.7,3.62,393400
18-03-21,3.65,3.65,3.69,3.63,452700
19-03-21,3.55,3.58,3.62,3.51,409000
22-03-21,3.68,3.57,3.68,3.4,1260900
23-03-21,3.6,3.47,3.6,3.42,808000
24-03-21,3.5,3.5,3.5,3.42,594800
25-03-21,3.5,3.46,3.52,3.41,405100
26-03-21,3.42,3.48,3.48,3.3,548000
29-03-21,3.5,3.65,3.66,3.44,777800
30-03-21,3.65,3.6,3.67,3.53,1187100
31-03-21,3.62,3.6,3.65,3.58,471100
01-04-21,3.6,3.61,3.64,3.55,551200
02-04-21,3.65,3.64,3.67,3.6,491200
05-04-21,3.64,3.64,3.65,3.55,416500
06-04-21,3.64,3.89,3.89,3.6,1854500
07-04-21,4.16,4.16,4.16,4.16,924100
08-04-21,4.45,4.45,4.45,4.16,3345100
09-04-21,4.21,4.76,4.76,4.21,1649700
12-04-21,4.92,5.09,5.09,4.85,1737700
13-04-21,5.2,4.82,5.25,4.74,2747100
14-04-21,4.65,5.0,5.0,4.49,1814800
15-04-21,5.0,4.88,5.25,4.8,1523100
16-04-21,4.88,4.56,4.89,4.54,1109400
19-04-21,4.36,4.43,4.7,4.36,722700
20-04-21,4.4,4.35,4.46,4.25,629000
22-04-21,4.35,4.05,4.36,4.05,1053200
23-04-21,4.01,4.1,4.17,3.85,613600
26-04-21,4.1,3.9,4.1,3.86,488800
27-04-21,3.9,4.17,4.17,3.85,732700
28-04-21,4.26,4.36,4.46,4.18,482400
29-04-21,4.34,4.25,4.4,4.16,368000
04-05-21,3.98,4.02,4.2,3.97,385700
05-05-21,4.19,4.2,4.28,4.05,298900
06-05-21,4.2,4.1,4.23,4.07,300100
07-05-21,4.1,4.1,4.29,3.95,442300
10-05-21,4.0,4.11,4.15,3.9,710800
11-05-21,4.13,4.08,4.14,3.98,502800
12-05-21,4.09,4.17,4.25,4.02,394400
