Date,Open,Close,High,Low,Volume
16-11-20,25.1,24.5,25.7,23.25,1031970
17-11-20,24.9,25.0,25.1,24.8,360650
18-11-20,25.0,24.75,25.2,24.5,263400
19-11-20,24.95,25.35,25.65,24.6,636080
20-11-20,25.4,25.0,25.5,24.9,325760
23-11-20,25.0,26.1,26.1,24.8,1355170
24-11-20,26.55,27.2,27.2,26.3,695430
25-11-20,27.0,26.95,27.5,26.7,619420
26-11-20,26.9,26.55,26.9,26.55,522340
27-11-20,26.6,26.85,27.0,26.55,318380
30-11-20,27.0,27.2,27.7,26.9,887250
01-12-20,26.8,27.15,27.5,26.65,445870
02-12-20,27.4,27.15,27.45,27.1,650330
03-12-20,27.35,27.6,27.7,27.15,460040
04-12-20,27.6,27.2,27.9,27.2,623070
07-12-20,27.2,27.7,27.75,27.1,665030
08-12-20,27.4,27.35,27.65,27.35,419800
09-12-20,27.5,27.25,27.5,27.1,640600
10-12-20,27.35,26.6,27.5,26.6,837830
11-12-20,26.6,26.75,26.9,26.05,652060
14-12-20,26.85,27.1,27.2,26.8,301030
15-12-20,27.15,27.0,27.3,26.85,591360
16-12-20,27.2,27.0,27.2,26.8,943530
17-12-20,27.0,26.7,27.0,26.5,612850
18-12-20,26.7,26.3,26.7,26.2,699810
21-12-20,26.3,26.3,26.8,26.3,735860
22-12-20,26.45,26.3,26.45,26.25,580620
23-12-20,26.3,26.85,27.0,26.3,643080
24-12-20,26.85,26.45,26.85,26.2,351200
25-12-20,26.6,27.2,27.2,26.4,556620
28-12-20,27.6,27.1,27.6,27.0,549460
29-12-20,27.1,27.3,27.5,27.1,705630
30-12-20,26.8,27.4,27.9,26.45,1001210
31-12-20,27.4,27.35,27.7,27.05,334440
04-01-21,27.4,27.25,27.4,27.15,427600
05-01-21,27.25,26.9,27.25,26.8,678500
06-01-21,26.9,26.85,27.1,26.7,429100
07-01-21,26.7,26.7,26.8,26.6,471400
08-01-21,26.7,26.9,27.0,26.7,404700
11-01-21,27.0,26.85,27.0,26.8,409400
12-01-21,26.7,26.8,26.85,26.5,393200
13-01-21,26.8,27.5,28.1,26.8,1089100
14-01-21,27.95,27.95,28.15,27.4,472900
15-01-21,27.95,27.75,28.0,27.5,267500
18-01-21,27.8,27.0,27.8,25.85,837100
19-01-21,27.0,26.05,27.0,25.2,561700
20-01-21,26.05,26.2,26.2,25.0,443400
21-01-21,26.2,26.65,26.65,26.15,383800
22-01-21,26.65,26.85,26.9,26.65,285100
25-01-21,26.65,27.5,28.0,26.65,348900
26-01-21,27.5,26.5,27.5,26.3,314800
27-01-21,26.5,26.1,27.1,26.0,272300
