Date,Open,Close,High,Low,Volume
16-11-20,1.02,1.03,1.06,1.01,304320
17-11-20,1.03,1.06,1.09,1.03,321340
18-11-20,1.08,1.06,1.08,1.05,209250
19-11-20,1.07,1.03,1.07,1.01,259620
20-11-20,1.04,1.03,1.04,1.01,155140
23-11-20,1.04,1.01,1.04,1.01,712420
24-11-20,1.03,1.02,1.03,1.0,344900
25-11-20,1.02,1.02,1.03,1.01,47860
26-11-20,1.03,1.02,1.03,1.0,121320
27-11-20,1.01,1.02,1.02,1.0,188190
30-11-20,1.03,1.02,1.04,1.01,186240
01-12-20,1.02,1.02,1.02,1.0,86900
02-12-20,1.01,1.01,1.02,1.0,187620
03-12-20,1.01,1.04,1.06,1.0,395880
04-12-20,1.04,1.04,1.06,1.03,337430
07-12-20,1.05,1.04,1.05,1.03,256570
08-12-20,1.03,1.02,1.04,1.02,253360
09-12-20,1.01,1.04,1.04,1.01,527150
10-12-20,1.04,1.03,1.05,1.02,176560
11-12-20,1.02,1.03,1.03,1.02,71970
14-12-20,1.02,1.04,1.04,1.01,128240
15-12-20,1.02,1.04,1.05,1.02,164160
16-12-20,1.03,1.03,1.04,1.02,117840
17-12-20,1.03,1.1,1.1,1.03,710400
18-12-20,1.16,1.09,1.16,1.09,746500
21-12-20,1.09,1.11,1.14,1.08,338470
22-12-20,1.13,1.18,1.18,1.1,1192780
23-12-20,1.23,1.22,1.26,1.18,843510
24-12-20,1.2,1.14,1.21,1.14,405430
25-12-20,1.17,1.1,1.17,1.07,544300
28-12-20,1.1,1.13,1.16,1.1,635270
29-12-20,1.13,1.16,1.17,1.13,628830
30-12-20,1.17,1.19,1.2,1.16,820570
31-12-20,1.2,1.17,1.2,1.17,231080
04-01-21,1.17,1.22,1.22,1.12,656300
05-01-21,1.19,1.21,1.23,1.19,481300
06-01-21,1.21,1.19,1.23,1.19,830500
07-01-21,1.19,1.24,1.25,1.18,1225800
08-01-21,1.27,1.24,1.27,1.23,583400
11-01-21,1.2,1.25,1.26,1.17,1419600
12-01-21,1.25,1.33,1.33,1.25,759300
13-01-21,1.42,1.42,1.42,1.42,427100
14-01-21,1.51,1.51,1.51,1.43,2220800
15-01-21,1.61,1.61,1.61,1.61,815700
18-01-21,1.72,1.72,1.72,1.72,128900
19-01-21,1.84,1.71,1.84,1.6,3702600
20-01-21,1.82,1.64,1.82,1.6,3188700
21-01-21,1.55,1.75,1.75,1.53,6076600
22-01-21,1.87,1.87,1.87,1.87,409800
25-01-21,2.0,2.0,2.0,2.0,371200
26-01-21,2.14,2.14,2.14,1.87,7088000
27-01-21,2.25,2.28,2.28,2.1,2298000
28-01-21,2.28,2.13,2.38,2.13,2712600
29-01-21,1.99,2.1,2.23,1.99,2689200
01-02-21,1.97,1.96,2.09,1.96,1517800
02-02-21,1.83,1.83,1.9,1.83,2635800
03-02-21,1.8,1.8,1.89,1.77,1499300
04-02-21,1.8,1.92,1.92,1.8,645000
05-02-21,1.84,2.04,2.04,1.84,718300
08-02-21,2.04,1.91,2.04,1.9,590700
09-02-21,1.9,1.92,1.98,1.79,329800
17-02-21,2.0,1.99,2.04,1.96,711600
18-02-21,2.04,1.98,2.04,1.98,679000
19-02-21,1.98,1.99,2.0,1.97,341400
22-02-21,1.95,1.98,1.99,1.92,293700
23-02-21,1.97,1.9,1.97,1.89,484900
24-02-21,1.9,1.86,1.9,1.85,329600
25-02-21,1.86,1.87,1.88,1.85,386800
26-02-21,1.87,1.85,1.89,1.84,401300
01-03-21,1.88,1.86,1.88,1.83,329000
02-03-21,1.86,1.84,1.9,1.83,239700
03-03-21,1.84,1.84,1.85,1.8,805300
04-03-21,1.85,1.96,1.96,1.85,666500
05-03-21,2.09,2.04,2.09,2.0,775700
08-03-21,2.06,2.01,2.07,1.97,678100
09-03-21,1.96,2.01,2.01,1.95,756800
10-03-21,2.0,1.98,2.0,1.87,633000
11-03-21,1.96,1.96,1.96,1.9,517300
12-03-21,1.97,1.95,1.97,1.93,351600
15-03-21,1.95,2.08,2.08,1.91,1853100
16-03-21,2.22,2.22,2.22,2.22,746900
17-03-21,2.37,2.37,2.37,2.37,633700
18-03-21,2.53,2.53,2.53,2.35,4791000
19-03-21,2.6,2.7,2.7,2.42,2562400
22-03-21,2.7,2.63,2.8,2.52,2480400
23-03-21,2.52,2.45,2.55,2.45,3153200
24-03-21,2.4,2.59,2.62,2.35,1818800
25-03-21,2.64,2.64,2.74,2.6,949900
26-03-21,2.62,2.5,2.64,2.46,1074900
29-03-21,2.52,2.5,2.65,2.33,1444800
30-03-21,2.55,2.55,2.59,2.46,1175100
31-03-21,2.57,2.48,2.57,2.4,1096200
01-04-21,2.42,2.57,2.6,2.42,888500
02-04-21,2.58,2.51,2.59,2.5,766700
05-04-21,2.52,2.68,2.68,2.51,2491100
06-04-21,2.86,2.86,2.86,2.86,905300
07-04-21,3.06,3.06,3.06,3.06,1118800
08-04-21,3.27,3.18,3.27,2.9,3284100
09-04-21,3.18,3.4,3.4,3.06,2669900
12-04-21,3.63,3.63,3.63,3.63,880800
13-04-21,3.88,3.88,3.88,3.63,3359200
14-04-21,3.88,4.15,4.15,3.88,2090800
15-04-21,4.44,4.44,4.44,4.42,2361000
16-04-21,4.75,4.63,4.75,4.43,3558700
19-04-21,4.31,4.95,4.95,4.31,9657900
20-04-21,4.95,4.61,4.95,4.61,1151800
22-04-21,4.29,4.29,4.59,4.29,1086600
23-04-21,3.99,4.4,4.59,3.99,3133200
26-04-21,4.1,4.1,4.32,4.1,696000
27-04-21,3.9,3.88,4.1,3.84,497700
28-04-21,3.86,4.0,4.15,3.86,1161000
29-04-21,3.85,3.75,4.28,3.75,1598900
04-05-21,3.5,3.79,4.01,3.5,1241900
05-05-21,4.05,4.05,4.05,4.0,712500
06-05-21,4.33,4.33,4.33,4.3,673200
07-05-21,4.61,4.35,4.63,4.35,2586000
10-05-21,4.59,4.65,4.65,4.35,1200700
11-05-21,4.97,4.65,4.97,4.65,1066700
12-05-21,4.5,4.97,4.97,4.5,1169900
13-05-21,5.3,5.31,5.31,5.2,1310600
14-05-21,5.68,5.68,5.68,5.66,1988700
17-05-21,6.06,5.66,6.06,5.45,1576800
18-05-21,5.35,5.27,5.5,5.27,866200
19-05-21,4.91,4.91,5.2,4.91,1364500
20-05-21,4.58,5.2,5.24,4.57,1591700
21-05-21,5.35,5.2,5.45,5.05,414800
24-05-21,5.12,4.89,5.15,4.84,520800
25-05-21,4.75,4.75,4.89,4.6,512500
26-05-21,4.55,4.67,4.75,4.55,447400
27-05-21,4.75,4.65,4.75,4.6,624400
28-05-21,4.7,4.97,4.97,4.7,674000
31-05-21,5.31,5.31,5.31,5.31,386000
01-06-21,5.63,5.15,5.63,5.0,973700
02-06-21,4.79,5.4,5.4,4.79,2212500
