Date,Open,Close,High,Low,Volume
16-11-20,27.1,27.9,27.9,27.0,1000
17-11-20,27.9,27.9,27.9,27.9,400
18-11-20,27.0,27.8,27.8,26.5,560
19-11-20,27.0,27.8,27.8,27.0,560
20-11-20,26.6,28.5,28.5,26.6,2010
23-11-20,28.5,28.5,28.5,28.5,0
24-11-20,28.5,28.5,28.5,28.5,0
25-11-20,28.5,28.5,28.5,28.5,0
26-11-20,27.2,27.2,27.2,27.2,10
27-11-20,27.2,27.2,27.2,27.2,0
30-11-20,27.5,27.5,27.5,27.2,3370
01-12-20,27.5,27.5,27.5,27.5,1040
02-12-20,28.0,27.9,28.5,27.9,4560
03-12-20,27.9,27.9,27.9,27.9,130
04-12-20,27.9,27.9,27.9,27.9,0
07-12-20,27.9,27.9,27.9,27.9,0
08-12-20,27.0,27.0,27.0,27.0,10
09-12-20,27.0,27.0,27.0,27.0,20
10-12-20,27.0,27.0,27.0,27.0,0
11-12-20,27.0,26.0,27.0,26.0,300
14-12-20,27.8,27.8,27.8,27.8,190
15-12-20,27.2,27.1,28.0,27.0,210
16-12-20,27.1,27.8,27.8,27.1,20
17-12-20,27.3,27.3,27.3,27.3,110
18-12-20,27.3,28.3,28.3,27.3,1010
21-12-20,28.3,28.3,28.3,28.3,0
22-12-20,28.3,28.3,28.3,28.3,0
23-12-20,27.2,27.2,27.2,27.2,10
24-12-20,29.0,27.5,29.0,27.2,120
25-12-20,27.5,27.5,27.5,27.5,170
28-12-20,27.1,27.5,27.5,27.1,1120
29-12-20,27.3,27.1,27.3,27.1,1420
30-12-20,27.1,28.5,28.95,27.1,3310
31-12-20,27.2,30.0,30.0,27.2,4120
04-01-21,29.95,28.15,29.95,28.15,1200
05-01-21,28.2,28.5,28.5,28.15,5200
06-01-21,28.5,28.5,28.5,28.5,0
07-01-21,28.45,28.5,28.5,28.45,4000
08-01-21,28.05,28.05,28.05,28.05,300
11-01-21,28.5,28.5,28.5,28.5,100
12-01-21,28.1,28.0,28.1,28.0,600
13-01-21,27.6,27.6,27.6,27.6,1000
14-01-21,27.65,27.6,27.65,27.6,300
15-01-21,27.6,27.6,27.6,27.6,200
18-01-21,27.7,28.0,28.0,27.7,2000
19-01-21,28.0,27.5,28.5,27.5,2200
20-01-21,27.5,27.5,27.5,27.5,0
21-01-21,27.0,27.0,27.0,27.0,1000
22-01-21,27.5,27.5,27.5,27.5,500
25-01-21,27.5,27.5,27.5,27.5,400
26-01-21,27.5,27.3,27.5,27.3,600
27-01-21,27.3,27.3,27.3,27.3,400
28-01-21,26.0,27.3,27.3,26.0,3300
29-01-21,27.3,27.3,27.3,27.3,0
01-02-21,26.2,27.3,27.3,26.2,6100
02-02-21,27.3,27.3,27.3,27.3,1000
03-02-21,27.7,27.3,27.7,27.3,1500
04-02-21,27.3,27.3,27.3,27.3,2700
05-02-21,27.8,27.5,27.8,27.5,300
08-02-21,27.1,27.1,27.1,27.1,700
09-02-21,27.1,27.5,27.5,27.1,400
17-02-21,27.5,27.5,27.5,27.5,200
18-02-21,27.5,27.5,27.5,27.5,2900
19-02-21,27.5,27.5,27.5,27.5,0
22-02-21,27.9,27.6,27.9,27.5,1300
23-02-21,27.5,27.5,27.5,27.5,800
24-02-21,27.5,27.5,27.5,27.5,0
25-02-21,28.0,28.1,28.1,28.0,7200
26-02-21,28.0,28.0,28.0,28.0,500
01-03-21,28.0,28.0,28.0,28.0,0
02-03-21,28.1,28.0,28.1,28.0,2600
03-03-21,28.0,28.5,28.5,28.0,3800
04-03-21,28.5,28.5,28.5,28.5,0
05-03-21,27.5,27.0,27.5,27.0,5500
08-03-21,27.05,27.6,27.6,27.0,3100
09-03-21,29.0,29.0,29.0,29.0,1100
10-03-21,28.4,28.0,28.4,28.0,6000
11-03-21,28.05,27.95,28.1,27.95,3700
12-03-21,27.8,27.8,27.8,27.8,1500
15-03-21,27.8,27.8,27.8,27.8,1000
16-03-21,28.1,27.9,28.1,27.8,4000
17-03-21,27.9,28.0,28.0,27.9,5100
18-03-21,28.0,28.0,28.0,28.0,0
19-03-21,27.8,27.8,27.8,27.8,1000
22-03-21,27.8,27.8,27.8,27.8,300
23-03-21,27.8,27.8,27.8,27.8,0
24-03-21,27.8,29.0,29.35,27.8,1400
