Date,Open,Close,High,Low,Volume
16-11-20,34.45,35.75,35.9,33.8,26610
17-11-20,35.75,36.0,36.0,33.8,24870
18-11-20,36.0,36.15,36.4,35.0,6920
19-11-20,38.6,37.5,38.6,34.5,15650
20-11-20,37.5,37.0,37.8,35.2,195690
23-11-20,37.0,34.85,37.0,34.65,2700
24-11-20,34.8,36.35,36.35,33.6,15660
25-11-20,36.5,35.05,36.8,35.05,11570
26-11-20,36.4,35.6,36.4,35.2,397510
27-11-20,36.4,36.4,36.4,36.2,9110
30-11-20,36.4,36.4,36.5,35.2,3010
01-12-20,36.2,36.4,36.4,35.05,20190
02-12-20,36.4,36.55,37.0,36.0,383000
03-12-20,37.0,37.0,37.3,36.6,78820
04-12-20,37.0,37.4,37.5,37.0,35350
07-12-20,36.7,37.4,38.2,36.7,26860
08-12-20,37.5,37.1,37.5,37.1,36840
09-12-20,37.4,35.3,37.4,35.3,142110
10-12-20,35.3,33.5,36.3,33.5,172050
11-12-20,33.5,33.4,34.95,32.7,202530
14-12-20,34.7,35.7,35.7,33.4,80240
15-12-20,38.0,37.8,38.0,37.0,104850
16-12-20,34.7,34.7,34.7,32.8,91600
17-12-20,34.0,37.0,37.1,34.0,72570
18-12-20,37.0,38.0,39.0,36.95,40630
21-12-20,38.0,36.0,38.0,35.5,81600
22-12-20,36.5,35.9,36.5,35.5,83270
23-12-20,35.5,35.9,35.95,35.35,34230
24-12-20,35.3,34.5,35.4,33.4,19740
25-12-20,35.0,34.5,35.4,34.5,97810
28-12-20,34.0,34.0,34.5,33.8,88070
29-12-20,34.1,35.4,35.5,33.9,99790
30-12-20,36.0,36.2,36.35,35.4,65700
31-12-20,35.75,36.1,36.4,35.75,18170
04-01-21,36.1,36.2,36.5,36.0,19500
05-01-21,35.6,35.3,36.0,35.3,11500
06-01-21,35.9,35.9,35.9,35.0,62500
07-01-21,35.6,36.7,36.8,35.5,47100
08-01-21,36.7,37.5,37.5,36.7,99400
11-01-21,37.5,37.0,37.8,37.0,15300
12-01-21,37.6,37.7,37.75,37.0,26300
13-01-21,38.0,38.2,38.3,37.7,93100
14-01-21,38.0,38.3,38.3,36.0,35400
15-01-21,38.3,38.0,38.3,36.8,27400
18-01-21,38.5,38.2,38.5,37.0,45900
19-01-21,38.0,37.1,38.0,36.75,47800
20-01-21,37.0,37.4,38.0,36.0,41900
21-01-21,36.8,37.9,37.9,36.8,13200
22-01-21,37.3,38.0,38.0,37.0,9800
25-01-21,38.0,38.0,38.45,38.0,36600
26-01-21,38.0,38.0,38.0,37.0,25700
27-01-21,37.5,37.0,38.0,37.0,29600
28-01-21,35.0,35.0,36.1,34.45,139700
29-01-21,35.0,35.0,35.9,34.9,13500
01-02-21,36.5,34.9,36.5,33.5,16400
02-02-21,34.8,35.5,35.5,33.25,14700
03-02-21,34.1,37.95,37.95,34.1,48400
04-02-21,40.6,38.7,40.6,38.7,40500
05-02-21,38.7,40.5,40.5,38.7,100400
08-02-21,40.5,38.6,40.5,38.5,10700
09-02-21,38.6,38.6,40.0,37.6,38900
17-02-21,38.0,38.7,39.2,38.0,30100
18-02-21,38.7,38.3,39.0,38.0,29700
19-02-21,38.3,39.0,39.0,38.2,17600
22-02-21,39.0,39.0,40.0,38.8,59100
23-02-21,38.8,39.0,39.3,38.6,13300
24-02-21,38.6,38.2,38.6,38.1,9800
25-02-21,38.3,38.25,38.9,38.2,15200
26-02-21,38.25,38.8,39.0,38.25,20400
01-03-21,39.0,39.5,40.0,39.0,33300
02-03-21,39.5,42.0,42.0,39.5,565300
03-03-21,42.0,42.5,42.9,42.0,49100
04-03-21,42.5,42.9,43.8,42.5,335100
05-03-21,42.2,42.6,42.8,41.1,63000
08-03-21,42.5,42.6,42.6,41.0,72500
09-03-21,42.0,42.7,43.0,41.5,45000
10-03-21,42.8,42.0,42.8,42.0,32500
11-03-21,42.4,42.6,42.6,41.5,539200
12-03-21,42.6,42.0,42.6,42.0,32200
15-03-21,42.0,44.9,44.9,42.0,137300
16-03-21,46.95,48.0,48.0,46.9,66000
17-03-21,51.3,51.3,51.3,51.3,43300
18-03-21,54.7,53.5,54.7,51.3,65900
19-03-21,54.3,57.2,57.2,52.0,180400
22-03-21,58.0,59.8,59.8,55.2,157900
23-03-21,59.8,55.7,59.8,55.7,116700
24-03-21,53.1,52.8,55.2,52.0,87200
25-03-21,49.6,56.4,56.4,49.6,107300
26-03-21,56.4,58.0,58.1,52.5,38100
29-03-21,58.0,57.5,58.1,57.0,62900
30-03-21,55.5,55.0,57.5,55.0,40800
31-03-21,54.2,55.2,56.5,52.0,41200
01-04-21,55.3,55.3,55.3,52.0,103900
02-04-21,54.0,57.6,58.0,52.0,158700
05-04-21,54.5,56.5,57.0,53.6,51200
06-04-21,53.8,57.0,57.0,53.8,55000
07-04-21,57.0,56.5,57.0,55.0,31700
08-04-21,56.0,55.8,56.0,55.0,28100
09-04-21,54.0,55.7,55.7,54.0,35900
12-04-21,55.6,55.5,55.6,54.7,26000
13-04-21,55.0,54.9,55.8,53.1,30100
14-04-21,55.0,54.0,55.0,52.0,49200
15-04-21,52.5,55.0,55.0,50.3,170900
16-04-21,55.0,54.4,55.0,52.1,7000
19-04-21,54.4,53.8,54.4,52.0,3000
20-04-21,52.1,53.3,53.8,51.0,21800
22-04-21,51.5,52.8,53.0,51.0,12200
23-04-21,52.0,51.8,52.0,50.1,6200
26-04-21,51.8,50.0,51.8,48.3,20300
27-04-21,49.0,50.3,50.3,47.0,84600
28-04-21,51.9,51.9,51.9,47.6,66300
29-04-21,52.0,51.0,52.0,49.0,27600
04-05-21,51.0,50.0,51.0,48.0,17400
05-05-21,50.0,49.8,50.0,48.0,37800
06-05-21,49.8,48.3,49.8,48.3,13600
07-05-21,48.3,48.3,49.0,47.1,51600
10-05-21,48.0,48.0,48.5,46.5,44200
11-05-21,48.0,51.0,51.3,48.0,77000
12-05-21,51.0,50.6,51.2,49.0,21400
13-05-21,48.6,49.8,50.4,48.5,31400
14-05-21,49.25,49.7,50.3,49.0,22500
17-05-21,48.0,48.2,49.6,47.6,18100
18-05-21,47.2,48.2,49.7,46.6,20800
19-05-21,46.55,47.5,48.5,46.55,15600
20-05-21,47.4,47.0,47.5,45.7,15000
21-05-21,46.1,45.0,46.5,45.0,35500
24-05-21,44.1,47.5,48.0,44.1,74600
25-05-21,45.7,47.4,47.5,45.65,9500
26-05-21,46.95,46.85,46.95,44.85,33500
27-05-21,46.7,46.5,46.7,44.5,18100
28-05-21,44.1,45.4,45.6,44.0,39400
31-05-21,45.8,45.4,46.0,44.0,23800
01-06-21,45.5,44.2,45.5,44.2,6800
02-06-21,43.1,44.0,44.1,43.1,13500
03-06-21,44.5,44.5,44.5,43.5,30100
04-06-21,44.5,44.0,44.5,43.5,28200
07-06-21,44.0,45.5,45.9,43.8,31400
08-06-21,45.6,43.9,45.6,43.9,23500
09-06-21,43.8,43.1,44.1,43.0,49400
10-06-21,43.15,43.0,43.3,43.0,21700
11-06-21,43.9,44.1,45.0,43.1,25600
14-06-21,46.0,47.15,47.15,46.0,64900
15-06-21,50.0,50.4,50.4,49.9,105500
16-06-21,50.4,49.5,50.4,48.1,33900
17-06-21,49.9,49.5,49.9,48.5,30300
18-06-21,49.5,52.4,52.4,49.5,107600
21-06-21,53.0,53.0,56.0,52.5,58500
22-06-21,53.0,52.0,53.9,51.9,22100
23-06-21,52.0,52.8,54.0,51.5,24000
24-06-21,52.8,52.0,53.0,52.0,51100
25-06-21,52.0,52.5,52.8,52.0,9700
28-06-21,52.0,52.5,53.0,52.0,19700
29-06-21,52.0,52.0,52.1,52.0,38600
30-06-21,52.0,53.5,53.5,52.0,58900
01-07-21,55.0,55.9,56.0,54.0,97600
02-07-21,55.9,55.0,55.9,54.2,40200
05-07-21,55.0,57.5,58.0,55.0,137300
06-07-21,56.4,54.5,57.7,54.5,25300
07-07-21,52.1,55.6,56.0,52.1,19500
08-07-21,53.6,55.3,57.0,53.6,42200
09-07-21,55.2,54.5,55.2,54.0,61400
12-07-21,53.7,51.0,54.1,50.7,104900
13-07-21,52.0,52.4,53.0,51.5,8800
14-07-21,53.3,53.0,53.3,52.3,14600
15-07-21,52.8,53.0,53.0,50.0,50000
16-07-21,53.0,55.0,55.0,51.3,44000
19-07-21,51.9,54.8,55.0,51.9,64400
20-07-21,53.9,53.5,54.7,53.0,21000
21-07-21,54.0,54.9,55.0,53.0,42200
22-07-21,54.8,58.7,58.7,54.5,154000
23-07-21,58.7,56.1,60.0,56.1,39300
26-07-21,56.3,59.0,59.0,56.2,88400
27-07-21,60.0,59.4,60.0,57.0,90500
28-07-21,59.0,59.0,60.0,57.7,49800
29-07-21,58.0,58.7,59.0,57.7,28700
30-07-21,58.7,61.2,61.4,58.0,167000
02-08-21,59.0,59.0,60.0,57.9,180800
03-08-21,59.0,57.0,59.8,57.0,172400
04-08-21,55.8,53.3,56.0,53.1,233700
05-08-21,51.5,53.5,53.5,51.3,85200
06-08-21,53.6,53.1,55.0,53.1,77500
09-08-21,53.0,53.7,54.0,52.6,98100
10-08-21,54.2,55.5,55.5,53.5,102800
11-08-21,55.5,57.5,58.0,55.5,164800
12-08-21,57.8,55.2,57.8,55.1,113200
13-08-21,54.0,54.3,55.2,54.0,43700
16-08-21,54.3,54.9,55.5,53.5,75100
17-08-21,53.6,53.5,54.0,53.5,54000
18-08-21,53.5,54.2,54.5,53.3,53700
19-08-21,54.5,53.5,54.5,51.0,62200
20-08-21,53.5,52.4,53.5,51.8,95300
23-08-21,51.9,52.3,52.3,50.7,88700
24-08-21,51.2,51.4,52.4,50.9,35000
25-08-21,52.3,52.1,52.3,51.5,15900
26-08-21,52.1,52.6,54.5,52.1,45000
27-08-21,52.6,53.4,53.5,52.6,22000
30-08-21,53.5,54.3,54.5,53.5,71400
31-08-21,54.8,56.0,56.8,54.8,94800
01-09-21,56.5,57.3,57.3,55.6,78600
06-09-21,58.0,61.3,61.3,57.0,212600
07-09-21,61.5,64.9,65.5,59.0,146500
08-09-21,64.9,66.3,67.5,62.1,64400
09-09-21,64.0,69.4,69.5,64.0,178000
10-09-21,69.0,69.3,70.0,68.8,69800
13-09-21,69.0,72.4,72.4,66.3,177900
14-09-21,70.1,70.9,72.4,69.3,104400
15-09-21,69.3,72.5,72.5,69.3,79400
16-09-21,72.4,75.9,77.0,69.6,169900
17-09-21,75.0,75.0,76.0,72.9,84600
20-09-21,75.0,71.0,75.0,71.0,88300
21-09-21,69.6,70.9,72.0,68.1,164300
22-09-21,69.6,70.5,71.0,69.0,58400
23-09-21,63.9,61.7,63.9,60.2,68500
24-09-21,61.6,60.9,61.7,58.8,21700
27-09-21,60.9,59.5,60.9,58.8,30900
28-09-21,57.6,62.1,63.0,57.6,181800
29-09-21,62.0,63.0,63.9,59.5,50800
30-09-21,63.0,67.4,67.4,63.0,96300
01-10-21,67.4,71.0,71.9,66.8,150500
04-10-21,71.0,72.0,73.0,69.0,134800
05-10-21,71.0,70.7,71.0,68.0,115100
06-10-21,68.6,69.0,70.7,68.0,187000
07-10-21,69.0,69.9,69.9,68.0,105300
08-10-21,69.8,69.1,69.9,68.1,85400
11-10-21,69.9,68.6,69.9,68.0,95500
12-10-21,67.7,67.6,68.6,67.6,94400
13-10-21,68.0,70.5,70.9,67.7,100900
14-10-21,71.9,68.9,71.9,68.8,134400
15-10-21,68.0,69.5,69.9,67.9,91500
18-10-21,68.1,69.2,69.5,67.9,87500
19-10-21,68.0,70.0,70.2,67.9,133400
20-10-21,68.0,69.7,70.0,68.0,88400
21-10-21,68.1,68.9,69.0,68.0,48800
22-10-21,68.9,68.5,68.9,67.8,45700
25-10-21,68.0,67.4,68.4,67.3,44800
26-10-21,67.4,68.0,68.3,67.0,31500
27-10-21,68.0,69.5,69.5,67.7,134800
28-10-21,69.5,74.1,74.3,67.9,221100
29-10-21,73.9,76.2,77.8,72.1,131900
01-11-21,80.9,81.2,81.5,77.8,215300
02-11-21,81.2,83.0,83.0,79.1,287200
03-11-21,87.0,84.6,87.0,80.0,151000
04-11-21,79.6,87.1,87.1,79.6,166400
