Date,Open,Close,High,Low,Volume
16-11-20,4.4,4.26,4.4,4.25,417570
17-11-20,4.21,4.25,4.26,4.2,256340
18-11-20,4.19,4.16,4.25,4.16,392090
19-11-20,4.16,4.2,4.3,4.16,315450
20-11-20,4.25,4.2,4.25,4.17,461550
23-11-20,4.2,4.2,4.27,4.17,657010
24-11-20,4.2,4.19,4.22,4.14,424530
25-11-20,4.19,4.19,4.21,4.16,208020
26-11-20,4.19,4.19,4.21,4.18,276720
27-11-20,4.2,4.48,4.48,4.19,848890
30-11-20,4.72,4.49,4.73,4.49,1165280
01-12-20,4.25,4.4,4.49,4.25,291830
02-12-20,4.4,4.38,4.4,4.34,236170
03-12-20,4.4,4.38,4.4,4.3,454300
04-12-20,4.38,4.34,4.4,4.3,380780
07-12-20,4.3,4.41,4.54,4.3,332710
08-12-20,4.41,4.41,4.45,4.38,470110
09-12-20,4.4,4.38,4.44,4.35,339740
10-12-20,4.38,4.34,4.38,4.33,402210
11-12-20,4.34,4.34,4.4,4.33,572090
14-12-20,4.34,4.36,4.36,4.3,897360
15-12-20,4.35,4.5,4.62,4.31,1784220
16-12-20,4.5,4.5,4.55,4.5,879640
17-12-20,4.5,4.62,4.7,4.5,1210910
18-12-20,4.68,4.94,4.94,4.68,4086530
21-12-20,4.94,4.97,5.23,4.9,994990
22-12-20,4.9,5.25,5.3,4.84,1567640
23-12-20,5.25,5.3,5.5,5.18,1602830
24-12-20,5.39,5.12,5.39,4.93,1599610
25-12-20,4.81,5.28,5.33,4.81,2627300
28-12-20,5.45,5.56,5.56,5.28,1736940
29-12-20,5.6,5.8,5.88,5.53,1612740
30-12-20,5.8,5.85,6.19,5.8,2348580
31-12-20,5.8,5.74,5.95,5.62,1896700
04-01-21,5.79,5.85,6.04,5.79,1175200
05-01-21,5.9,5.84,5.92,5.8,729800
06-01-21,5.8,6.0,6.2,5.77,1776800
07-01-21,6.09,6.42,6.42,6.01,3410000
08-01-21,6.47,6.45,6.75,6.34,1121600
11-01-21,6.45,6.4,6.45,6.24,1245000
12-01-21,6.25,6.6,6.7,6.24,1895900
13-01-21,6.76,6.45,6.76,6.4,1637400
14-01-21,6.45,6.8,6.85,6.33,3150200
15-01-21,6.8,7.2,7.25,6.61,3175900
18-01-21,7.25,7.27,7.55,7.0,2264100
19-01-21,7.4,6.77,7.4,6.77,1430600
20-01-21,6.77,6.7,6.77,6.3,2223000
21-01-21,6.7,6.69,6.77,6.41,1982100
22-01-21,6.71,6.23,6.71,6.23,2084800
25-01-21,5.9,6.66,6.66,5.9,4564400
26-01-21,6.67,6.8,6.8,6.21,1605400
27-01-21,6.35,6.33,6.6,6.33,1211200
28-01-21,5.89,5.89,5.91,5.89,531800
29-01-21,5.48,5.55,5.95,5.48,1283700
01-02-21,5.52,5.18,5.65,5.17,1710600
02-02-21,5.19,5.54,5.54,5.0,1424300
03-02-21,5.54,5.92,5.92,5.54,1140800
04-02-21,5.9,6.24,6.24,5.75,939600
05-02-21,6.15,6.67,6.67,6.1,5887100
08-02-21,6.67,6.83,7.0,6.21,2768800
09-02-21,6.6,6.36,6.64,6.36,1642700
17-02-21,6.39,6.65,6.65,6.2,505400
18-02-21,6.56,6.53,6.69,6.42,606400
19-02-21,6.5,6.5,6.54,6.41,602500
22-02-21,6.5,6.51,6.56,6.3,841600
23-02-21,6.38,6.45,6.59,6.38,530900
24-02-21,6.45,6.27,6.46,6.27,718400
25-02-21,6.45,6.48,6.48,6.0,1489400
26-02-21,6.25,6.43,6.43,6.1,833300
01-03-21,6.51,6.88,6.88,6.51,4102800
02-03-21,7.15,7.2,7.2,6.93,1823800
03-03-21,7.15,7.5,7.5,6.94,1815800
04-03-21,7.48,7.49,7.5,6.98,2620600
05-03-21,7.3,7.32,7.32,6.97,2902900
08-03-21,7.1,7.29,7.3,7.0,1807600
09-03-21,7.07,7.18,7.18,6.99,2345100
10-03-21,7.01,6.99,7.13,6.89,2048400
11-03-21,6.9,6.84,6.91,6.79,1547100
12-03-21,6.83,6.9,7.09,6.83,889900
15-03-21,7.02,6.96,7.05,6.87,1179000
16-03-21,6.96,6.96,7.0,6.85,1268600
17-03-21,6.9,7.12,7.3,6.87,1797500
18-03-21,7.2,7.05,7.2,7.0,939300
19-03-21,7.07,6.98,7.07,6.94,638600
22-03-21,7.0,6.98,7.12,6.95,972800
23-03-21,7.0,7.02,7.17,6.96,1280600
24-03-21,6.98,6.87,7.0,6.85,871500
25-03-21,6.89,6.77,6.89,6.7,1067100
26-03-21,6.71,6.55,6.75,6.3,1386800
29-03-21,6.55,6.78,6.9,6.55,1134300
30-03-21,6.92,6.86,6.92,6.7,856700
31-03-21,6.81,6.88,7.0,6.75,841000
01-04-21,7.0,6.96,7.0,6.81,871400
02-04-21,7.2,7.09,7.2,7.01,1672900
05-04-21,7.1,7.11,7.15,6.99,996800
06-04-21,7.11,7.07,7.11,7.0,869400
07-04-21,7.06,7.56,7.56,6.95,3301200
08-04-21,8.0,7.75,8.0,7.6,1809300
09-04-21,7.75,7.83,7.94,7.65,1138800
12-04-21,7.8,8.0,8.29,7.6,2509600
13-04-21,8.1,7.85,8.2,7.7,1716400
14-04-21,7.8,8.0,8.02,7.62,1497000
15-04-21,8.0,7.8,8.0,7.77,1407200
16-04-21,7.62,7.3,7.8,7.26,1732900
19-04-21,7.3,7.47,7.5,7.1,1181800
20-04-21,7.47,7.15,7.5,7.1,991200
22-04-21,7.05,6.65,7.14,6.65,1546200
23-04-21,6.31,6.88,6.89,6.28,1038700
26-04-21,6.7,6.54,6.86,6.54,664300
27-04-21,6.45,6.46,6.54,6.35,419400
28-04-21,6.42,6.52,6.6,6.42,781300
29-04-21,6.6,6.49,6.6,6.45,539100
04-05-21,6.4,6.25,6.4,6.05,888600
05-05-21,6.25,6.4,6.5,6.2,707900
06-05-21,6.5,6.3,6.59,6.3,549300
07-05-21,6.3,6.18,6.3,6.05,660400
10-05-21,6.0,6.0,6.14,5.9,1014500
11-05-21,6.0,6.08,6.2,5.9,660500
12-05-21,6.08,6.12,6.15,6.05,333500
13-05-21,6.08,6.08,6.12,6.0,612100
14-05-21,6.35,6.5,6.5,6.3,1005200
17-05-21,6.95,6.95,6.95,6.95,459400
18-05-21,7.43,6.99,7.43,6.9,2468500
19-05-21,6.73,6.63,6.99,6.54,959100
20-05-21,6.63,6.55,6.9,6.5,701600
21-05-21,6.5,6.55,6.8,6.3,803100
24-05-21,6.67,6.68,6.78,6.61,607400
25-05-21,6.68,6.6,6.8,6.5,439500
26-05-21,6.57,6.44,6.57,6.44,853500
27-05-21,6.44,6.2,6.45,6.1,476500
28-05-21,6.2,6.36,6.4,6.1,1392700
31-05-21,6.36,6.21,6.36,6.15,524900
01-06-21,6.2,6.27,6.4,6.15,950600
02-06-21,6.2,6.35,6.35,6.12,409000
03-06-21,6.5,6.55,6.55,6.4,702300
04-06-21,6.6,6.41,6.6,6.15,405300
07-06-21,6.55,6.35,6.55,6.33,396500
08-06-21,6.3,6.28,6.5,6.28,690800
09-06-21,6.22,6.27,6.3,6.15,487600
10-06-21,6.2,6.25,6.3,6.18,349200
11-06-21,6.23,6.24,6.35,6.2,406900
14-06-21,6.24,6.24,6.32,6.24,423900
15-06-21,6.3,6.24,6.3,6.21,448100
16-06-21,6.24,6.34,6.5,6.24,615000
17-06-21,6.34,6.44,6.45,6.3,332800
18-06-21,6.46,6.4,6.46,6.34,412700
21-06-21,6.4,6.35,6.4,6.32,474300
22-06-21,6.41,6.35,6.5,6.31,728000
23-06-21,6.35,6.4,6.58,6.32,1076900
24-06-21,6.5,6.39,6.5,6.38,346100
25-06-21,6.39,6.35,6.4,6.32,402600
28-06-21,6.35,6.32,6.35,6.3,488400
29-06-21,6.32,6.26,6.32,6.25,534100
30-06-21,6.26,6.24,6.29,6.23,265000
01-07-21,6.24,6.15,6.24,6.13,461300
02-07-21,6.15,6.14,6.2,6.12,348900
05-07-21,6.19,5.94,6.19,5.85,818500
06-07-21,5.9,5.81,5.94,5.81,653000
07-07-21,5.8,5.56,5.81,5.46,638200
08-07-21,5.56,5.71,5.9,5.56,325000
09-07-21,5.7,5.46,5.7,5.45,308400
12-07-21,5.46,5.49,5.49,5.08,1151400
13-07-21,5.57,5.87,5.87,5.2,1883600
14-07-21,5.87,5.8,5.92,5.65,701300
15-07-21,5.8,6.0,6.0,5.63,1048000
16-07-21,5.81,5.58,5.85,5.58,1440300
19-07-21,5.41,5.29,5.41,5.19,504500
20-07-21,5.27,5.29,5.29,5.0,376100
21-07-21,5.29,5.1,5.29,5.05,496600
22-07-21,5.05,5.24,5.25,5.0,942100
23-07-21,5.27,5.12,5.27,5.11,375600
26-07-21,5.01,5.13,5.2,5.01,125700
27-07-21,5.07,5.26,5.3,5.07,512100
28-07-21,5.24,5.19,5.24,5.15,169000
29-07-21,5.2,5.1,5.21,5.1,240500
30-07-21,5.13,5.11,5.16,5.1,496500
02-08-21,5.11,5.11,5.2,5.09,419900
03-08-21,5.11,5.13,5.19,5.11,248100
04-08-21,5.15,5.16,5.21,5.11,781300
05-08-21,5.17,5.39,5.45,5.16,500300
06-08-21,5.4,5.55,5.58,5.4,723500
09-08-21,5.56,5.79,5.83,5.3,621100
10-08-21,5.8,5.99,5.99,5.7,1128000
11-08-21,5.89,6.06,6.2,5.69,1176700
12-08-21,6.09,5.92,6.09,5.88,754700
13-08-21,5.97,6.0,6.0,5.75,546000
16-08-21,6.16,6.42,6.42,6.12,3142100
17-08-21,6.45,6.39,6.59,6.3,1122200
18-08-21,6.38,6.82,6.83,6.25,2387200
19-08-21,6.6,6.7,6.9,6.59,2145800
20-08-21,6.7,6.55,6.7,6.24,1767900
23-08-21,6.4,6.1,6.6,6.1,1213700
24-08-21,6.09,6.19,6.29,6.09,499200
