Date,Open,Close,High,Low,Volume
16-11-20,10.45,10.7,10.7,10.0,1828480
17-11-20,10.7,11.1,11.3,10.5,898730
18-11-20,11.0,10.9,11.35,10.4,1071270
19-11-20,10.5,10.65,11.2,10.3,768560
20-11-20,10.8,11.35,11.35,10.2,1375570
23-11-20,11.4,11.35,11.5,11.15,427510
24-11-20,11.35,11.1,11.45,11.05,459100
25-11-20,11.35,11.3,11.75,11.0,985090
26-11-20,11.35,11.5,11.5,11.1,225110
27-11-20,11.7,11.6,11.7,11.5,415680
30-11-20,11.6,12.3,12.35,11.4,473230
01-12-20,11.8,12.0,12.25,11.7,648640
02-12-20,12.0,12.5,12.7,12.0,499520
03-12-20,12.45,12.0,12.7,11.8,909380
04-12-20,12.0,12.2,12.6,12.0,814450
07-12-20,12.6,12.7,12.7,12.45,326650
08-12-20,12.7,12.5,12.7,12.45,417630
09-12-20,12.55,12.65,12.7,12.5,289610
10-12-20,12.0,11.6,12.0,11.5,345540
11-12-20,11.6,12.1,12.2,11.45,335460
14-12-20,12.1,12.2,12.4,11.9,252410
15-12-20,12.0,12.7,12.9,12.0,839780
16-12-20,12.7,12.65,12.85,12.5,136820
17-12-20,12.65,12.55,12.95,12.35,329420
18-12-20,12.7,12.65,12.8,12.4,421850
21-12-20,12.9,12.5,12.9,12.25,1109170
22-12-20,12.5,12.3,12.7,12.0,1118620
23-12-20,12.1,12.3,12.4,11.8,799260
24-12-20,12.0,11.95,12.2,11.45,347190
25-12-20,11.95,11.8,11.95,11.5,579110
28-12-20,11.9,11.95,12.3,11.8,541160
29-12-20,11.9,11.9,11.95,11.8,231600
30-12-20,11.85,11.75,11.9,11.7,348800
31-12-20,11.8,11.8,11.8,11.6,204940
04-01-21,11.9,12.2,12.5,11.9,537700
05-01-21,12.2,12.1,12.3,12.05,386700
06-01-21,12.15,12.1,12.15,12.0,413500
07-01-21,12.0,12.0,12.1,11.85,570900
08-01-21,12.0,12.8,12.8,12.0,1794000
11-01-21,13.65,13.65,13.65,13.65,501600
12-01-21,14.6,14.1,14.6,13.55,1232000
13-01-21,13.6,13.3,13.95,13.3,1195800
14-01-21,13.3,14.2,14.2,13.2,992600
15-01-21,14.2,14.4,14.6,14.15,770300
18-01-21,14.45,14.45,14.65,14.15,968400
19-01-21,14.3,15.0,15.3,13.45,989700
20-01-21,14.75,14.6,14.8,13.85,900600
21-01-21,14.9,15.3,15.3,14.3,1135900
22-01-21,15.3,14.9,15.3,14.55,665700
25-01-21,14.05,14.05,14.7,14.0,598900
26-01-21,13.7,13.1,13.7,13.1,441800
27-01-21,12.2,12.2,13.0,12.2,607400
28-01-21,11.35,11.35,11.4,11.35,316600
29-01-21,10.6,11.3,11.5,10.6,443500
01-02-21,11.3,10.55,11.5,10.55,324300
02-02-21,10.55,10.6,10.6,10.0,138900
03-02-21,11.0,11.3,11.3,10.6,187400
04-02-21,12.05,11.7,12.05,11.5,241100
05-02-21,11.9,12.0,12.0,11.7,72200
08-02-21,12.5,11.65,12.5,11.3,203700
09-02-21,11.65,11.75,11.75,10.9,117500
17-02-21,11.6,11.85,12.1,11.6,170500
18-02-21,12.05,11.75,12.05,11.75,203100
19-02-21,11.7,11.7,11.85,11.5,100200
22-02-21,11.85,11.75,11.85,11.6,121600
23-02-21,11.7,11.75,11.85,11.7,155000
24-02-21,11.85,11.8,12.15,11.7,307400
25-02-21,11.9,11.85,12.05,11.8,249800
26-02-21,11.85,12.4,12.5,11.8,356000
01-03-21,13.0,12.8,13.0,12.5,172900
02-03-21,12.8,12.4,12.8,12.4,156400
03-03-21,12.2,13.0,13.0,12.2,384300
04-03-21,13.2,13.0,13.2,12.5,303900
05-03-21,12.4,13.7,13.7,12.4,233200
08-03-21,13.7,13.3,13.7,13.15,230800
09-03-21,13.0,13.05,13.25,12.95,105600
10-03-21,13.0,12.8,13.05,12.7,131600
11-03-21,12.9,13.2,13.4,12.75,261300
12-03-21,13.2,12.8,13.2,12.8,140100
15-03-21,12.8,12.8,12.9,12.75,81000
16-03-21,12.8,12.75,12.8,12.5,125200
17-03-21,12.8,12.6,12.8,12.6,78900
18-03-21,12.7,13.45,13.45,12.6,428000
19-03-21,13.4,13.7,13.7,13.15,430300
22-03-21,13.5,13.5,13.65,13.4,141200
23-03-21,13.4,14.4,14.4,13.0,248000
24-03-21,13.55,14.0,14.0,13.55,217100
25-03-21,14.0,13.9,14.2,13.4,182100
26-03-21,13.4,13.8,13.8,13.0,182800
29-03-21,13.8,13.8,13.8,13.55,107000
30-03-21,13.7,14.25,14.25,13.4,790100
31-03-21,14.25,14.3,14.4,14.1,610400
01-04-21,14.35,14.5,14.5,14.1,490800
02-04-21,14.8,14.7,14.85,14.2,503600
05-04-21,14.5,14.8,14.85,14.4,405200
06-04-21,14.8,15.8,15.8,14.45,803000
07-04-21,16.0,16.0,16.0,15.4,799200
08-04-21,16.15,16.0,16.15,15.5,481900
09-04-21,16.0,15.7,16.0,15.2,697300
12-04-21,15.6,16.5,16.75,15.5,1176900
16-04-21,16.8,15.9,16.8,15.6,931367
19-04-21,16.1,17.2,17.3,15.8,759623
20-04-21,17.5,16.5,18.2,16.5,1393342
22-04-21,16.4,16.0,16.6,16.0,760782
23-04-21,16.0,16.0,16.7,15.5,1258140
26-04-21,16.3,15.2,16.3,15.0,540000
27-04-21,15.2,14.9,15.4,14.3,223528
28-04-21,14.9,14.7,15.1,14.5,391924
29-04-21,14.5,14.6,14.9,14.5,161949
04-05-21,14.4,14.4,14.4,13.5,204908
05-05-21,14.7,14.5,14.8,14.4,333888
06-05-21,14.5,14.5,14.6,14.3,213534
07-05-21,14.2,14.1,14.5,14.0,125760
10-05-21,14.1,14.9,15.2,13.9,420260
11-05-21,14.9,14.6,14.9,14.4,164513
12-05-21,14.5,14.8,14.8,14.3,55452
13-05-21,14.7,14.5,14.7,14.2,272178
14-05-21,14.5,14.3,14.5,14.1,173173
17-05-21,14.3,13.8,14.3,13.7,171536
18-05-21,13.5,13.1,13.5,12.9,507590
19-05-21,13.3,13.3,13.4,13.0,200358
20-05-21,13.3,13.7,13.8,13.0,281380
21-05-21,13.7,13.6,13.9,13.6,258888
24-05-21,13.6,13.7,13.8,13.5,100157
25-05-21,13.7,13.5,13.7,13.3,214083
26-05-21,13.5,14.8,14.8,13.5,661455
27-05-21,14.8,14.8,15.4,14.8,596079
28-05-21,14.8,14.7,15.1,14.5,346309
31-05-21,15.0,16.1,16.1,15.0,1820631
01-06-21,16.3,17.0,17.2,16.0,1370220
02-06-21,17.1,16.2,17.3,16.0,1165253
03-06-21,14.1,15.5,15.5,14.1,2384551
04-06-21,16.5,16.9,17.0,15.7,2168143
07-06-21,17.9,16.3,18.3,15.5,1363441
