Date,Open,Close,High,Low,Volume
16-11-20,10.0,10.0,10.1,10.0,17405
17-11-20,10.1,10.2,10.2,9.9,22627
18-11-20,10.2,10.5,10.9,10.2,19500
19-11-20,10.8,10.6,10.8,10.6,2402
20-11-20,10.5,10.4,10.5,10.4,2600
23-11-20,10.4,10.2,10.4,10.2,6310
24-11-20,10.2,10.2,10.2,10.2,7300
25-11-20,10.1,10.1,10.1,10.1,600
26-11-20,10.1,10.1,10.1,10.1,800
27-11-20,10.0,10.1,10.1,10.0,3200
30-11-20,10.0,10.0,10.3,10.0,5800
01-12-20,10.0,10.2,10.2,10.0,13410
02-12-20,10.1,10.1,10.1,10.0,16200
03-12-20,10.1,10.3,10.3,10.1,1700
04-12-20,10.3,10.4,10.4,10.3,300
07-12-20,10.4,10.5,10.5,10.4,3000
08-12-20,10.6,10.6,10.6,10.5,2400
09-12-20,10.6,10.6,10.6,10.6,2000
10-12-20,10.6,10.5,10.6,10.5,4200
11-12-20,10.6,10.5,10.6,10.5,2100
14-12-20,10.7,11.0,11.1,10.7,35904
15-12-20,11.0,10.6,11.0,10.6,1530
16-12-20,10.8,10.8,10.8,10.8,6100
17-12-20,10.9,11.0,11.1,10.9,25125
18-12-20,11.0,11.0,11.1,11.0,10100
21-12-20,10.9,10.9,10.9,10.7,11500
22-12-20,11.0,11.0,11.0,10.9,10625
23-12-20,11.0,10.9,11.0,10.9,9400
24-12-20,10.8,10.7,10.8,10.7,2930
25-12-20,10.7,10.9,10.9,10.7,1729
28-12-20,10.8,10.9,10.9,10.8,1600
29-12-20,10.8,10.9,10.9,10.8,13700
30-12-20,10.9,10.9,10.9,10.9,4001
31-12-20,10.9,10.9,10.9,10.9,800
04-01-21,10.9,10.9,10.9,10.9,6200
05-01-21,10.8,11.0,11.0,10.8,12600
06-01-21,10.9,12.2,12.4,10.9,188700
07-01-21,12.6,12.5,13.0,12.2,98000
08-01-21,12.8,12.8,13.0,12.3,97300
