Date,Open,Close,High,Low,Volume
16-11-20,87.2,85.8,87.8,85.0,1250340
17-11-20,85.8,87.6,87.6,85.5,548250
18-11-20,87.6,87.6,87.7,87.0,906810
19-11-20,87.7,90.2,90.2,87.4,2584440
20-11-20,91.0,92.5,92.5,90.1,1231960
23-11-20,92.1,91.6,92.4,91.0,648830
24-11-20,92.0,92.4,92.4,90.8,996580
25-11-20,92.5,93.5,94.2,92.3,1088020
26-11-20,93.5,94.0,94.0,92.6,698350
27-11-20,94.0,94.5,94.5,93.2,1210580
30-11-20,93.7,93.0,94.0,91.5,1448340
01-12-20,90.7,92.0,93.2,90.7,1162270
02-12-20,92.0,93.5,93.5,91.5,746710
03-12-20,93.5,93.5,93.9,92.4,736760
04-12-20,93.2,91.1,93.5,91.1,860900
07-12-20,91.4,93.1,93.3,91.4,945460
08-12-20,93.0,93.1,93.9,91.5,702820
09-12-20,93.6,96.5,96.5,93.2,1198160
10-12-20,96.5,97.2,97.7,96.4,1299820
11-12-20,97.2,97.2,97.3,95.9,776190
14-12-20,97.2,99.9,99.9,95.9,931080
15-12-20,99.0,97.8,99.8,96.5,1433260
16-12-20,98.5,99.9,99.9,97.8,740700
17-12-20,98.6,96.0,98.6,95.0,2305960
18-12-20,96.0,98.9,98.9,96.0,1053200
21-12-20,98.9,98.9,99.0,97.3,697030
22-12-20,98.0,97.9,98.1,97.5,748840
23-12-20,97.5,97.5,98.5,96.9,666390
24-12-20,97.9,97.3,97.9,96.0,815730
25-12-20,97.0,97.6,97.6,96.7,314960
28-12-20,98.0,98.0,98.2,97.3,836090
29-12-20,98.0,99.2,99.8,97.8,696510
30-12-20,99.2,97.9,99.6,97.5,509510
31-12-20,97.9,97.9,99.0,97.0,367140
04-01-21,98.0,99.0,99.8,97.3,855900
05-01-21,99.0,99.3,100.6,99.0,739200
06-01-21,99.5,105.0,106.2,99.3,2080400
07-01-21,104.0,107.0,108.5,104.0,889000
08-01-21,108.0,104.8,108.0,104.5,963900
11-01-21,104.6,104.5,105.7,104.1,847400
12-01-21,105.6,105.6,105.6,104.2,634900
13-01-21,105.6,104.8,106.1,104.0,1064200
14-01-21,105.0,103.9,105.2,103.3,832200
15-01-21,104.8,103.2,104.9,102.5,1099800
18-01-21,103.5,103.3,105.0,103.0,1060400
19-01-21,103.1,99.0,103.3,96.1,1130300
20-01-21,99.0,99.1,105.9,98.0,2093000
21-01-21,99.1,103.0,103.0,98.0,1283700
22-01-21,103.0,103.0,104.0,102.0,1268500
25-01-21,101.1,102.5,103.0,101.1,725900
26-01-21,102.5,100.9,102.5,99.0,970500
27-01-21,99.1,97.4,100.0,93.9,1566800
28-01-21,92.0,90.6,93.3,90.6,1205500
29-01-21,85.5,93.0,96.9,85.5,1359000
01-02-21,96.0,91.1,96.0,91.0,1309600
02-02-21,92.0,96.5,96.7,92.0,1064500
03-02-21,97.9,98.9,99.0,96.6,1454600
04-02-21,98.9,98.9,99.0,93.9,967300
05-02-21,98.9,100.0,100.0,97.9,897400
08-02-21,99.0,94.1,99.8,93.1,2902200
09-02-21,97.0,97.2,97.4,93.1,2978900
17-02-21,97.5,100.0,100.0,97.5,1054100
18-02-21,99.0,102.0,102.0,98.0,1688900
19-02-21,99.2,101.3,101.7,99.1,1851200
22-02-21,100.5,100.6,102.0,100.3,1388700
23-02-21,100.0,100.0,101.0,99.2,1441400
24-02-21,100.5,98.1,101.0,96.5,1265300
25-02-21,99.0,98.2,99.5,97.6,896100
26-02-21,97.3,98.2,99.0,97.0,1070700
01-03-21,98.2,99.2,99.3,98.2,911200
02-03-21,100.0,99.3,101.8,98.0,1189600
03-03-21,98.3,98.4,99.4,98.2,915600
