Date,Open,Close,High,Low,Volume
16-11-20,42.5,42.3,43.4,42.0,1224250
17-11-20,42.3,42.9,43.0,42.2,838030
18-11-20,42.9,43.05,43.7,42.7,561710
19-11-20,43.0,40.8,43.0,40.5,2263060
20-11-20,41.0,40.7,41.6,40.5,1079310
23-11-20,40.7,41.15,41.85,40.65,811810
24-11-20,41.2,42.0,42.1,40.8,967480
25-11-20,42.25,41.7,42.95,41.5,891260
26-11-20,41.6,41.7,42.0,40.95,491340
27-11-20,41.9,42.7,42.8,41.5,1017610
30-11-20,42.7,41.7,42.8,41.7,811240
01-12-20,41.3,42.3,42.5,40.85,900090
02-12-20,42.5,44.15,45.0,42.3,1692930
03-12-20,44.2,44.2,44.8,43.2,806490
04-12-20,43.8,43.65,44.4,43.65,819320
07-12-20,43.7,43.8,44.3,43.4,725010
08-12-20,43.8,44.7,45.3,43.7,1584210
09-12-20,45.0,43.95,45.3,43.95,1743300
10-12-20,44.0,43.0,45.0,43.0,1661160
11-12-20,43.0,43.6,43.7,42.75,801940
14-12-20,43.6,45.5,45.9,43.6,1292050
15-12-20,45.5,44.7,46.0,44.5,1256310
16-12-20,44.7,44.85,45.75,44.35,1053270
17-12-20,44.8,43.9,45.15,43.9,1139680
18-12-20,44.9,46.95,46.95,44.0,2493590
21-12-20,48.5,50.2,50.2,47.0,2151210
22-12-20,50.0,51.9,52.0,49.3,1807490
23-12-20,51.9,50.4,51.9,50.0,1240100
24-12-20,50.1,51.3,51.5,47.5,2426070
25-12-20,51.0,52.7,54.0,50.5,1405810
28-12-20,53.0,54.0,56.0,53.0,2035090
29-12-20,54.0,54.8,55.9,53.3,1588850
30-12-20,54.3,55.8,56.3,54.1,1020290
31-12-20,55.5,58.2,58.5,55.5,1188400
04-01-21,58.9,60.3,61.0,58.9,1265600
05-01-21,60.3,62.8,63.8,59.9,1105900
06-01-21,64.4,61.0,64.4,60.5,1540700
07-01-21,61.5,61.4,61.9,59.0,2686300
08-01-21,61.7,60.4,63.0,59.5,845300
11-01-21,60.1,58.4,60.4,58.0,1715300
12-01-21,58.4,60.4,60.9,57.5,1288000
13-01-21,60.4,59.0,60.8,58.6,1502300
14-01-21,59.0,60.5,61.2,59.0,2664000
15-01-21,60.6,62.3,62.3,60.3,2138300
18-01-21,63.4,64.0,65.3,62.5,2271400
19-01-21,63.2,60.5,63.9,59.6,2035900
20-01-21,60.0,59.5,60.6,57.0,1419200
21-01-21,60.5,61.2,61.4,58.5,869400
22-01-21,61.8,61.0,61.8,60.5,1181900
25-01-21,60.0,60.3,61.1,58.9,1081000
26-01-21,59.8,56.6,59.8,56.1,1397600
27-01-21,53.3,52.7,56.5,52.7,1894500
28-01-21,49.05,49.05,49.5,49.05,1583600
29-01-21,45.65,49.0,51.8,45.65,2201100
01-02-21,48.95,47.6,50.5,47.6,1353100
02-02-21,46.0,48.5,49.0,46.0,810300
03-02-21,49.4,51.8,51.8,48.6,1070100
04-02-21,54.0,53.0,54.7,52.0,1191300
05-02-21,53.0,54.2,54.6,53.0,867600
08-02-21,54.2,51.4,54.6,50.5,1693300
09-02-21,51.4,52.9,53.2,49.7,1209800
17-02-21,54.0,55.5,55.5,53.0,821000
18-02-21,55.3,55.0,55.6,54.5,812100
19-02-21,55.0,55.8,56.0,54.0,1013800
22-02-21,56.9,55.0,56.9,54.0,1030300
23-02-21,55.4,55.0,55.8,54.4,794700
24-02-21,55.5,54.0,56.2,53.5,1206100
25-02-21,54.0,54.0,54.8,53.3,611800
26-02-21,53.0,53.8,54.3,53.0,598100
01-03-21,54.3,55.0,55.4,53.8,880000
02-03-21,56.0,54.5,56.0,54.5,984800
03-03-21,54.5,54.5,55.3,54.3,962500
04-03-21,54.5,53.5,54.8,52.0,1192700
05-03-21,53.5,53.0,53.5,51.4,964400
08-03-21,53.9,53.6,54.0,53.1,806300
09-03-21,53.1,53.7,54.0,52.8,381100
10-03-21,53.7,57.4,57.4,53.5,2099200
11-03-21,59.0,59.2,59.9,58.5,1813900
12-03-21,59.2,58.8,60.0,58.6,1311600
15-03-21,59.0,61.0,61.3,58.1,2408600
16-03-21,61.8,61.3,62.5,60.5,1611400
17-03-21,61.0,61.0,61.4,60.3,1612600
18-03-21,61.3,64.7,65.0,61.0,1938200
19-03-21,65.0,67.4,68.5,65.0,1743900
22-03-21,67.4,66.5,68.2,65.5,903700
23-03-21,66.0,64.9,66.0,63.0,1661000
24-03-21,63.9,61.6,64.0,60.7,1990500
