Date,Open,Close,High,Low,Volume
16-11-20,31.1,32.9,32.9,31.1,1110
17-11-20,32.9,32.9,32.9,32.9,0
18-11-20,32.9,32.9,32.9,32.9,0
19-11-20,32.9,32.9,32.9,32.9,6250
20-11-20,32.0,32.0,32.0,32.0,910
23-11-20,32.0,32.0,32.0,31.85,40530
24-11-20,32.0,32.0,32.0,32.0,0
25-11-20,31.5,32.9,32.9,31.1,3610
26-11-20,32.9,32.9,32.9,32.9,0
27-11-20,32.9,32.9,32.9,32.9,0
30-11-20,32.9,32.9,32.9,32.9,0
01-12-20,31.5,31.55,32.5,31.5,8560
02-12-20,32.9,32.5,32.9,31.5,8020
03-12-20,32.5,32.4,32.5,31.5,5660
04-12-20,32.0,32.5,33.0,32.0,1170
07-12-20,31.65,32.25,32.45,31.5,14590
08-12-20,32.0,32.0,32.3,31.5,6420
09-12-20,32.35,31.8,32.4,31.55,7670
10-12-20,32.5,31.9,32.7,31.5,12990
11-12-20,32.45,32.3,32.45,31.5,5030
14-12-20,32.3,32.25,32.3,31.6,5110
15-12-20,32.35,32.2,32.4,31.6,7560
16-12-20,32.3,32.5,32.7,32.25,11820
17-12-20,31.7,32.5,32.65,31.7,5640
18-12-20,32.45,32.4,32.45,32.4,2560
21-12-20,32.4,32.0,32.4,32.0,20
22-12-20,31.7,31.9,31.9,31.7,210
23-12-20,31.9,31.9,32.0,31.05,8260
24-12-20,32.0,32.0,32.0,31.9,460
25-12-20,31.5,31.9,31.9,31.0,620
28-12-20,32.6,32.5,33.0,31.9,15840
29-12-20,32.5,32.5,32.5,32.5,0
30-12-20,31.1,31.8,32.0,31.1,3030
31-12-20,31.1,31.3,31.9,31.1,2310
04-01-21,32.5,31.9,32.5,31.9,2800
05-01-21,31.9,31.9,31.9,31.9,300
06-01-21,31.9,31.9,31.9,31.4,4600
07-01-21,31.9,31.9,31.9,31.9,1000
08-01-21,31.9,31.9,31.9,31.9,1500
11-01-21,31.2,31.9,31.9,31.2,1100
12-01-21,31.7,31.5,31.8,31.3,6600
13-01-21,31.5,31.9,31.9,31.5,2600
14-01-21,31.9,32.3,32.5,31.9,5700
15-01-21,32.7,32.5,32.7,31.25,10200
18-01-21,31.9,32.0,32.0,31.9,3900
19-01-21,32.7,32.7,32.7,32.7,1000
20-01-21,32.45,31.95,32.45,31.9,3900
21-01-21,32.55,32.5,32.55,32.5,200
22-01-21,31.5,32.5,32.5,31.0,8800
25-01-21,32.0,31.9,32.0,31.5,800
26-01-21,31.9,31.9,31.9,31.9,0
27-01-21,31.15,31.5,31.95,31.15,45800
28-01-21,31.5,31.5,32.45,31.5,23700
29-01-21,29.55,31.5,31.7,29.55,101200
01-02-21,32.0,32.0,32.0,32.0,100
02-02-21,31.95,31.05,31.95,31.05,4800
03-02-21,31.85,31.5,31.85,31.05,300
04-02-21,31.5,32.8,33.0,31.0,30100
05-02-21,32.7,31.95,32.7,30.7,5100
08-02-21,31.95,31.95,31.95,31.95,0
09-02-21,31.95,31.95,31.95,31.95,0
17-02-21,30.65,32.6,32.6,30.6,240500
18-02-21,32.2,33.0,33.0,32.2,10600
19-02-21,33.0,32.8,33.0,32.6,1800
22-02-21,32.85,32.7,32.85,32.7,7500
23-02-21,32.6,32.7,32.8,32.6,2600
24-02-21,32.5,32.2,32.5,32.2,4400
25-02-21,32.8,32.5,33.0,32.5,7700
26-02-21,32.0,33.0,33.0,32.0,1700
01-03-21,32.9,33.0,33.0,32.9,3400
02-03-21,33.0,32.8,33.0,32.6,1600
03-03-21,32.9,31.7,33.0,31.7,11400
04-03-21,32.0,33.5,33.5,32.0,4500
05-03-21,33.5,33.5,33.5,33.5,0
08-03-21,33.4,33.35,33.5,32.25,2600
09-03-21,33.35,33.35,33.35,33.35,0
10-03-21,32.35,32.35,32.35,32.35,400
11-03-21,32.35,32.4,33.5,32.25,5700
12-03-21,32.5,32.4,33.2,32.4,2400
15-03-21,33.1,32.6,33.1,32.6,200
16-03-21,32.6,33.0,33.0,32.4,1600
17-03-21,33.85,32.7,33.85,32.6,7900
18-03-21,32.6,32.8,32.8,32.6,600
19-03-21,33.0,34.5,34.5,33.0,17400
22-03-21,34.0,35.8,35.8,34.0,39000
23-03-21,38.2,38.3,38.3,38.0,16400
24-03-21,40.95,40.65,40.95,40.65,28800
25-03-21,39.9,39.0,39.9,38.9,7500
26-03-21,36.5,36.5,36.5,36.5,3700
29-03-21,34.0,36.35,36.35,33.95,10400
30-03-21,34.0,36.5,37.9,34.0,1000
31-03-21,36.0,36.0,36.0,36.0,500
01-04-21,35.5,34.0,35.5,34.0,5800
02-04-21,35.4,36.0,36.0,35.4,2200
05-04-21,38.0,34.1,38.0,34.1,200
06-04-21,35.4,34.15,35.4,34.15,900
07-04-21,34.1,35.0,35.0,34.0,3400
08-04-21,35.0,35.0,35.0,35.0,400
09-04-21,34.0,35.0,35.0,34.0,2200
12-04-21,34.5,33.15,35.5,33.05,13000
13-04-21,33.0,34.9,34.9,33.0,400
14-04-21,33.1,33.2,34.85,33.1,300
15-04-21,34.5,35.0,35.0,33.3,9100
16-04-21,35.0,35.0,35.0,35.0,500
19-04-21,35.0,35.0,35.0,35.0,2200
20-04-21,35.0,37.0,37.4,35.0,11400
22-04-21,37.0,37.0,37.0,37.0,2000
23-04-21,37.0,37.0,37.0,37.0,0
26-04-21,35.5,35.5,35.5,35.5,1000
