Date,Open,Close,High,Low,Volume
16-11-20,23.1,23.0,23.1,23.0,172340
17-11-20,22.9,23.1,23.1,22.9,124070
18-11-20,23.2,23.05,23.2,23.0,212280
19-11-20,23.0,23.2,23.2,23.0,189630
20-11-20,24.0,24.8,24.8,23.9,1105520
23-11-20,24.8,26.5,26.5,24.75,327780
24-11-20,28.35,27.0,28.35,26.5,367200
25-11-20,26.5,26.0,26.5,25.7,508270
26-11-20,25.65,26.1,27.5,25.1,259720
27-11-20,26.05,26.0,26.7,26.0,144630
30-11-20,26.0,26.5,26.6,26.0,327850
01-12-20,25.6,26.05,26.5,25.6,170400
02-12-20,26.3,26.35,26.7,26.0,304610
03-12-20,26.55,28.0,28.15,26.5,720060
04-12-20,28.3,27.8,28.3,27.3,207200
07-12-20,27.8,26.5,27.8,26.5,222590
08-12-20,26.05,25.5,26.45,25.2,574010
09-12-20,25.5,25.75,26.35,25.2,299660
10-12-20,25.7,25.5,26.3,25.5,191440
11-12-20,25.75,25.6,25.75,25.15,197790
14-12-20,25.6,25.6,25.9,25.1,224780
15-12-20,25.6,25.65,25.75,25.2,223580
16-12-20,25.95,25.6,26.0,25.45,389620
17-12-20,25.6,25.6,26.1,25.4,360720
18-12-20,25.5,25.6,25.9,25.5,192300
21-12-20,25.65,25.7,25.7,25.5,374600
22-12-20,25.75,26.7,27.0,25.25,347200
23-12-20,26.95,27.3,28.5,26.8,578550
24-12-20,27.0,26.05,27.2,25.55,317770
25-12-20,25.9,26.8,26.8,25.9,119720
28-12-20,28.0,26.75,28.0,26.0,366700
29-12-20,26.3,26.9,26.95,26.3,157790
30-12-20,26.9,26.75,26.95,26.55,229270
31-12-20,26.6,26.8,27.0,26.6,283180
04-01-21,26.85,26.8,27.3,26.75,208900
05-01-21,26.8,27.15,27.4,26.75,199900
06-01-21,27.8,27.75,28.45,27.3,523300
07-01-21,27.4,28.0,28.05,27.4,113300
08-01-21,28.0,27.9,28.2,26.4,240900
11-01-21,27.9,27.8,27.9,27.4,227700
12-01-21,27.8,27.35,27.8,26.5,139500
13-01-21,27.0,26.9,27.6,26.9,202200
14-01-21,27.3,27.0,28.3,27.0,222300
15-01-21,27.8,27.2,27.8,27.15,67800
18-01-21,27.2,27.3,27.8,27.15,237600
19-01-21,27.5,26.9,27.75,25.5,381000
20-01-21,26.65,26.9,27.8,26.1,449300
21-01-21,27.45,28.75,28.75,27.0,727200
22-01-21,30.3,30.75,30.75,29.7,863000
25-01-21,32.5,32.9,32.9,31.2,996200
26-01-21,32.85,31.0,33.95,30.6,1357400
27-01-21,30.8,33.15,33.15,30.5,1883800
28-01-21,31.0,32.0,35.3,31.0,983800
29-01-21,31.15,34.2,34.2,31.15,830000
01-02-21,34.9,35.2,36.55,34.0,660200
02-02-21,35.0,36.45,36.45,33.1,850900
03-02-21,37.05,38.25,39.0,36.45,573000
04-02-21,38.0,35.6,38.2,35.6,714700
05-02-21,33.3,34.1,35.3,33.25,901300
08-02-21,34.1,33.0,34.3,33.0,592600
09-02-21,32.5,34.25,34.3,32.5,430000
17-02-21,34.25,34.95,34.95,33.0,421600
18-02-21,35.0,35.2,36.2,34.45,442200
19-02-21,35.2,36.5,37.2,35.2,353500
22-02-21,36.5,36.0,37.0,35.5,719300
23-02-21,35.75,36.8,37.3,35.75,496000
24-02-21,36.35,36.0,37.1,36.0,469000
25-02-21,37.15,37.45,37.9,36.6,701900
26-02-21,37.0,37.3,37.4,36.5,227100
01-03-21,37.3,37.1,37.5,36.8,103700
02-03-21,37.5,37.0,38.2,37.0,345400
03-03-21,36.55,36.0,36.9,36.0,388800
04-03-21,38.0,36.0,38.1,34.0,278100
05-03-21,36.0,35.95,36.0,34.0,473200
08-03-21,35.5,34.9,36.4,34.8,194600
09-03-21,34.8,34.7,34.8,33.3,398700
10-03-21,34.0,33.5,34.45,33.4,343500
11-03-21,34.0,33.7,34.2,33.5,155200
12-03-21,33.7,33.9,34.05,33.5,131400
15-03-21,34.0,34.4,34.4,33.8,283700
16-03-21,34.4,34.1,34.4,33.75,103700
17-03-21,34.0,34.1,34.4,33.75,158000
18-03-21,34.0,34.0,34.35,34.0,154200
19-03-21,34.0,33.9,34.0,33.0,211800
22-03-21,33.9,34.0,34.0,33.0,369600
23-03-21,33.9,34.5,34.5,33.1,219300
24-03-21,34.5,34.25,34.5,33.6,147300
25-03-21,34.2,34.0,34.2,33.5,95900
26-03-21,33.4,34.5,34.5,32.0,246200
29-03-21,34.5,34.45,34.5,33.75,221000
30-03-21,34.45,35.9,35.9,33.9,344200
31-03-21,35.9,35.65,36.4,35.45,187800
01-04-21,35.7,35.7,35.7,35.15,94700
02-04-21,35.7,35.2,35.7,35.0,111500
05-04-21,37.65,36.4,37.65,35.9,403300
06-04-21,36.4,35.0,36.5,35.0,233700
07-04-21,35.0,36.0,36.0,34.05,186200
08-04-21,35.5,35.6,35.9,35.0,179900
09-04-21,35.6,35.0,35.65,35.0,154800
12-04-21,35.45,35.1,35.45,34.8,217900
13-04-21,35.1,35.0,35.65,34.2,186400
14-04-21,35.0,34.55,35.0,33.8,278400
15-04-21,34.7,33.75,34.7,33.5,185200
16-04-21,32.95,33.0,33.55,32.8,293900
19-04-21,32.4,33.0,33.5,31.6,287100
20-04-21,33.4,33.2,33.4,32.9,158900
22-04-21,33.2,33.1,33.85,32.1,99300
23-04-21,33.1,33.5,33.8,32.95,130300
26-04-21,34.0,33.4,34.0,33.0,172000
27-04-21,33.4,33.35,33.6,33.0,72500
28-04-21,33.35,35.65,35.65,33.35,1477700
29-04-21,36.0,36.2,37.9,35.9,1839900
04-05-21,36.0,34.9,36.0,34.7,238900
05-05-21,34.9,34.4,34.9,33.9,559100
06-05-21,34.0,34.35,35.05,34.0,220900
07-05-21,34.9,33.8,34.9,33.2,149300
10-05-21,32.8,33.1,33.2,32.8,155100
11-05-21,33.0,33.0,33.7,33.0,137000
12-05-21,32.7,33.0,33.0,32.7,471200
13-05-21,33.1,33.0,33.5,33.0,153000
14-05-21,33.4,33.0,33.4,32.95,57400
17-05-21,33.0,33.0,33.2,32.7,115600
18-05-21,32.6,32.9,33.05,32.55,68100
19-05-21,32.9,32.6,33.1,32.5,168900
20-05-21,32.7,31.6,32.7,31.2,180100
21-05-21,31.0,31.1,31.35,30.5,311200
24-05-21,30.2,30.5,30.6,30.2,139900
25-05-21,30.6,29.9,30.65,29.8,118400
26-05-21,29.9,29.1,29.9,28.85,339900
27-05-21,29.0,28.0,29.0,28.0,449600
28-05-21,28.4,29.2,29.6,28.4,343900
31-05-21,29.2,29.85,29.85,28.65,105100
01-06-21,29.85,29.0,29.9,29.0,157200
02-06-21,28.6,29.8,29.8,28.6,171300
03-06-21,29.8,31.0,31.0,29.8,902300
04-06-21,31.0,30.95,31.5,29.8,121800
07-06-21,30.95,30.5,30.95,30.15,88000
08-06-21,30.7,29.8,30.7,29.0,190500
09-06-21,29.8,28.95,29.8,28.2,110200
10-06-21,29.0,28.0,29.2,28.0,260500
11-06-21,28.0,28.3,28.55,28.0,110400
14-06-21,28.5,28.5,29.2,28.4,186100
15-06-21,28.5,29.3,29.6,28.35,369700
16-06-21,29.8,29.0,29.8,28.5,116000
17-06-21,28.6,29.2,29.3,28.6,164200
18-06-21,29.2,30.5,31.0,28.8,1775000
21-06-21,30.1,30.2,30.5,30.1,195000
22-06-21,30.5,30.2,30.5,30.0,241400
23-06-21,29.8,30.0,30.15,29.2,203800
24-06-21,30.0,29.95,30.0,29.2,210700
25-06-21,29.95,30.0,30.0,29.5,283200
28-06-21,30.3,30.2,30.9,30.0,252800
29-06-21,30.3,30.0,30.3,29.7,179600
30-06-21,30.3,30.0,30.3,29.5,289100
01-07-21,30.0,29.6,30.0,29.35,120400
02-07-21,29.6,29.9,29.9,29.3,250300
05-07-21,29.9,29.65,30.0,29.6,231700
06-07-21,29.6,29.0,29.6,29.0,126000
07-07-21,29.0,29.1,29.1,27.95,279000
08-07-21,29.1,29.1,29.1,28.25,117300
09-07-21,28.2,29.5,29.8,28.2,361300
12-07-21,29.45,28.3,29.45,28.05,56800
13-07-21,27.7,28.4,28.6,27.7,42300
14-07-21,28.5,29.4,29.7,28.0,138200
15-07-21,29.4,29.5,29.5,28.8,40300
16-07-21,29.5,29.85,30.0,29.5,136800
19-07-21,29.4,29.3,29.5,28.5,207100
20-07-21,28.55,29.35,29.4,28.55,56200
21-07-21,29.5,30.0,30.6,29.5,209800
22-07-21,30.2,30.1,30.5,30.05,73300
23-07-21,30.0,29.85,30.1,29.5,54400
26-07-21,29.15,29.75,29.85,29.15,89500
27-07-21,30.1,30.1,30.5,29.7,228300
28-07-21,30.1,30.35,30.6,30.1,217400
29-07-21,30.4,30.6,30.9,30.4,95300
30-07-21,30.05,30.45,30.6,30.05,162500
02-08-21,30.9,30.6,31.8,30.5,346700
03-08-21,30.65,30.7,31.5,30.2,241900
04-08-21,30.8,30.4,30.9,30.3,138500
05-08-21,30.3,30.0,30.3,29.8,284300
06-08-21,30.3,29.85,30.3,29.75,187500
09-08-21,29.85,31.9,31.9,29.85,1096200
10-08-21,32.4,33.5,33.9,32.4,1802300
11-08-21,33.55,33.75,34.5,33.0,2211500
12-08-21,33.45,34.15,34.65,33.3,2873900
13-08-21,34.2,34.0,34.3,33.0,2335500
16-08-21,34.35,35.15,35.2,34.25,2840700
17-08-21,35.15,33.55,35.15,33.4,2134300
18-08-21,33.55,33.3,34.45,33.1,3006500
19-08-21,33.25,33.6,33.95,32.5,2916200
20-08-21,33.55,35.95,35.95,33.55,7044500
23-08-21,36.25,34.95,37.7,34.95,5918700
24-08-21,34.95,33.6,35.0,33.35,2059700
25-08-21,33.15,34.0,34.1,32.5,1361000
26-08-21,34.0,33.85,34.85,32.8,2549400
27-08-21,33.6,34.15,34.2,32.95,1236400
30-08-21,34.5,35.8,36.3,34.5,4513100
31-08-21,35.8,35.8,37.2,35.2,4762600
01-09-21,35.9,36.9,37.3,35.85,2171200
