Date,Open,Close,High,Low,Volume
16-11-20,45.5,44.5,45.75,44.4,574310
17-11-20,44.9,45.3,45.35,44.5,309530
18-11-20,45.7,45.15,45.7,44.0,305660
19-11-20,45.6,46.0,46.0,44.45,869850
20-11-20,46.0,45.25,46.0,45.25,271010
23-11-20,45.25,44.95,45.4,44.8,732490
24-11-20,45.0,45.6,47.0,45.0,1104890
25-11-20,45.9,45.35,45.9,45.35,510290
26-11-20,45.35,45.05,45.35,44.9,625600
27-11-20,45.1,45.05,45.6,44.95,829660
30-11-20,45.1,44.2,45.1,43.5,732820
01-12-20,44.0,44.45,45.05,44.0,635380
02-12-20,44.7,44.45,45.0,44.0,977630
03-12-20,44.85,44.45,44.85,44.0,821760
04-12-20,44.5,44.0,45.25,43.9,955990
07-12-20,44.0,44.3,44.6,44.0,377790
08-12-20,44.3,44.6,44.8,44.3,595410
09-12-20,44.9,45.55,46.0,44.65,1771550
10-12-20,45.7,45.2,46.1,45.2,738680
11-12-20,45.4,45.15,45.4,44.85,643110
14-12-20,45.2,45.1,45.9,45.0,1428280
15-12-20,45.2,46.25,47.4,45.0,2083900
16-12-20,46.7,46.1,46.8,45.9,1095240
17-12-20,45.2,44.05,45.7,43.8,3628260
18-12-20,44.05,42.45,44.4,41.7,2772350
21-12-20,42.45,41.3,42.5,40.6,2215760
22-12-20,40.9,41.25,42.4,40.6,1248970
23-12-20,41.8,41.6,42.5,41.35,1573820
24-12-20,41.9,41.0,42.2,40.4,1159320
25-12-20,40.9,41.95,42.0,40.65,1073050
28-12-20,42.05,41.3,42.1,41.2,1697030
29-12-20,41.3,40.65,41.5,40.55,2386940
30-12-20,40.8,40.55,41.2,40.55,1327260
31-12-20,40.9,41.4,41.95,40.6,1336680
04-01-21,42.0,42.0,42.25,41.65,1936900
05-01-21,41.6,41.95,42.25,41.6,1172300
06-01-21,41.95,41.1,42.05,41.0,3356600
07-01-21,41.2,41.6,42.0,40.6,1664800
08-01-21,41.8,41.8,42.45,41.6,1428500
11-01-21,42.0,43.3,43.5,41.45,2692000
12-01-21,43.4,43.6,43.95,42.5,1666000
13-01-21,43.6,43.05,43.75,43.0,1598000
14-01-21,43.0,42.45,43.05,42.2,1597700
15-01-21,42.55,42.1,43.0,42.0,1737700
18-01-21,42.5,43.35,43.4,42.2,2054600
19-01-21,43.5,42.0,44.6,40.35,2415600
20-01-21,42.2,41.4,42.5,40.0,1183200
21-01-21,41.4,41.5,41.9,40.8,1411200
22-01-21,41.5,41.7,42.9,41.0,2410100
25-01-21,41.7,42.5,43.3,41.5,2185700
26-01-21,42.5,41.2,42.55,41.05,1034200
27-01-21,41.25,40.7,42.25,40.5,1288600
28-01-21,38.1,37.9,39.0,37.9,1719600
29-01-21,35.3,38.0,39.3,35.3,1215100
01-02-21,38.0,35.4,38.3,35.35,1374600
02-02-21,36.0,35.3,36.0,34.65,1174100
03-02-21,36.0,37.2,37.75,35.8,1142600
04-02-21,37.5,37.0,37.8,36.95,723100
05-02-21,37.0,37.1,37.5,36.9,661600
08-02-21,37.1,36.15,37.2,34.55,1030900
09-02-21,36.15,36.65,36.9,35.85,620500
17-02-21,37.0,38.4,38.5,37.0,828400
18-02-21,38.8,39.5,40.15,38.3,1065400
19-02-21,39.2,40.3,40.95,39.0,846700
22-02-21,40.25,39.55,40.4,39.4,1023000
23-02-21,39.2,39.0,39.5,38.9,880200
24-02-21,39.0,39.95,40.0,38.8,1006100
25-02-21,40.3,39.9,41.0,39.1,872400
26-02-21,39.05,39.8,40.0,39.05,540300
01-03-21,40.0,40.15,40.45,39.0,1357000
02-03-21,40.6,40.85,41.2,40.1,1549600
03-03-21,41.2,42.0,42.0,40.9,2105600
04-03-21,42.0,41.9,43.6,41.6,2492300
05-03-21,41.8,42.7,43.2,41.6,2153100
08-03-21,43.5,42.75,43.6,42.5,1094300
09-03-21,42.5,42.0,42.75,41.8,1431500
10-03-21,42.0,42.55,42.6,41.7,1336800
11-03-21,43.0,42.7,43.0,42.55,1116800
12-03-21,42.7,42.35,42.9,42.0,949800
15-03-21,42.55,42.35,43.0,41.9,1079500
16-03-21,42.45,42.25,42.8,42.0,652900
17-03-21,42.55,42.4,42.6,42.2,753600
18-03-21,42.95,42.4,43.0,42.0,969200
19-03-21,42.4,41.9,42.4,41.9,743100
22-03-21,42.0,41.45,42.0,41.3,928600
23-03-21,41.35,40.45,41.35,40.1,1651800
24-03-21,40.0,38.9,40.3,38.0,1534500
25-03-21,38.9,38.55,39.6,38.4,1129300
26-03-21,38.4,39.0,39.3,38.0,806900
29-03-21,39.2,39.4,39.6,38.7,482800
30-03-21,39.2,39.0,39.35,38.85,750000
31-03-21,38.75,38.8,39.1,38.6,713800
01-04-21,38.8,39.5,39.5,38.8,488400
