Date,Open,Close,High,Low,Volume
16-11-20,78.6,76.6,79.2,76.0,4096110
17-11-20,77.0,78.3,78.3,76.7,2250180
18-11-20,78.2,77.3,78.2,77.3,2008090
19-11-20,77.5,77.5,78.2,77.2,2451380
20-11-20,78.0,78.5,78.8,77.6,2692820
23-11-20,79.4,80.6,80.9,79.3,5107110
24-11-20,81.0,83.8,83.8,80.6,5458900
25-11-20,84.0,83.5,85.7,83.4,3544000
26-11-20,82.9,82.7,83.2,82.1,2313600
27-11-20,82.7,83.0,83.5,82.1,2024240
30-11-20,83.5,82.6,84.3,82.2,3533370
01-12-20,81.5,83.3,83.3,81.5,2597660
02-12-20,83.2,85.2,85.8,83.2,4703540
03-12-20,85.6,84.9,85.6,84.5,1673260
04-12-20,85.0,84.9,85.2,84.1,2190950
07-12-20,84.5,84.7,85.1,83.8,1479390
08-12-20,84.9,84.4,85.7,84.3,1532530
09-12-20,84.5,85.0,85.3,84.2,2136700
10-12-20,85.4,83.6,85.7,83.6,2406160
11-12-20,83.6,85.0,85.0,83.4,2406180
14-12-20,85.4,87.0,87.0,85.0,2974170
15-12-20,86.5,86.0,88.1,85.0,4050090
16-12-20,86.0,86.2,86.6,85.5,1812470
17-12-20,86.0,84.7,86.0,84.5,4870320
18-12-20,84.7,85.3,86.0,84.6,3038890
21-12-20,85.6,87.1,87.3,85.6,3322250
22-12-20,87.2,86.9,87.9,86.4,2163130
23-12-20,87.4,87.4,89.0,86.8,3220800
24-12-20,88.0,86.3,88.1,84.5,2687430
25-12-20,86.2,87.6,87.6,85.6,1584940
28-12-20,88.5,87.7,88.6,86.7,1905670
29-12-20,87.7,90.3,90.5,87.1,3451160
30-12-20,90.6,90.2,92.0,90.0,2027680
31-12-20,91.2,89.5,91.4,89.5,1272810
04-01-21,91.0,92.0,92.9,89.9,3077500
05-01-21,91.8,95.6,96.0,91.5,2853200
06-01-21,96.6,94.8,96.6,94.2,2838200
07-01-21,94.8,94.8,95.1,93.4,2926400
08-01-21,95.5,96.4,96.8,95.3,2187200
11-01-21,98.0,103.1,103.1,97.6,4512700
12-01-21,104.8,103.4,104.9,103.1,2862600
13-01-21,104.0,100.9,104.1,99.6,2972500
14-01-21,100.9,99.6,101.2,98.6,3274800
15-01-21,100.7,101.6,101.6,99.4,2078100
18-01-21,102.0,101.0,102.8,99.6,2291200
19-01-21,100.0,96.8,100.7,94.0,3552500
20-01-21,97.0,97.5,103.0,94.5,3457300
21-01-21,98.0,99.0,99.4,97.8,3018300
22-01-21,99.4,99.3,101.0,98.9,2262800
25-01-21,99.5,99.5,100.1,98.6,2142000
26-01-21,99.6,98.0,99.7,95.0,2105700
27-01-21,96.0,93.9,98.2,91.5,3312000
28-01-21,87.5,87.4,89.7,87.4,3197600
29-01-21,84.0,93.5,93.5,84.0,5469400
01-02-21,93.6,88.3,95.0,88.3,2634200
02-02-21,89.0,94.4,94.4,88.0,2756900
03-02-21,94.5,97.2,98.9,94.5,3365900
04-02-21,97.2,98.4,98.9,95.2,2498900
05-02-21,98.9,99.3,99.6,98.3,2245800
08-02-21,99.3,94.7,99.4,92.5,4803100
09-02-21,95.9,96.8,97.3,93.9,2668600
17-02-21,98.0,101.0,101.2,97.0,3701700
18-02-21,101.0,103.2,103.2,100.0,4499400
19-02-21,102.0,103.1,103.4,101.3,1911800
22-02-21,103.6,105.8,106.2,103.6,4390500
23-02-21,105.8,105.3,106.4,104.0,2039100
24-02-21,106.0,102.8,106.0,101.0,3720700
25-02-21,103.0,102.8,103.6,101.5,2300900
26-02-21,101.3,101.6,102.8,100.4,2385600
01-03-21,102.0,103.0,103.4,101.9,2302000
02-03-21,104.0,102.8,104.5,101.7,2460000
03-03-21,102.5,101.5,102.5,101.3,2148400
04-03-21,101.9,100.0,102.0,98.0,2714300
05-03-21,98.4,98.4,99.5,98.0,2865300
08-03-21,99.7,97.2,99.8,96.8,3046500
09-03-21,97.0,98.2,99.3,95.2,2196300
10-03-21,99.5,99.9,100.3,98.0,2406700
11-03-21,101.0,100.0,101.4,98.9,1726900
12-03-21,100.0,99.9,101.2,99.3,1733400
15-03-21,99.9,99.8,100.0,98.5,2288400
16-03-21,99.6,99.5,99.8,98.1,1317500
17-03-21,98.8,99.3,99.7,98.1,2007400
18-03-21,99.5,99.7,99.9,98.0,1374800
19-03-21,99.0,97.8,99.3,97.8,2747200
22-03-21,98.7,99.3,99.5,98.0,1576700
23-03-21,98.6,98.7,99.2,98.0,1319900
24-03-21,97.6,97.2,98.0,96.0,2103300
25-03-21,97.2,96.7,97.7,95.0,2404000
26-03-21,96.5,95.7,96.7,94.1,2265800
29-03-21,96.0,96.2,96.5,95.1,1446000
30-03-21,96.2,96.3,97.9,95.9,2901300
31-03-21,96.5,97.3,98.4,96.5,1897500
01-04-21,97.5,99.0,99.5,97.1,2578700
02-04-21,100.0,100.7,101.8,99.7,2203200
05-04-21,105.0,101.7,105.0,101.0,2653200
06-04-21,101.7,101.7,103.0,101.3,2102600
07-04-21,100.7,100.5,101.4,99.5,2485300
08-04-21,100.5,99.7,100.5,99.7,1584900
09-04-21,99.2,98.9,99.2,98.0,2111100
12-04-21,99.5,101.8,102.0,99.3,3269900
13-04-21,102.9,102.5,105.0,101.8,4016800
14-04-21,98.5,100.5,100.5,97.9,8169000
15-04-21,101.8,101.2,104.5,100.7,7972300
16-04-21,101.2,101.0,104.5,98.0,6593100
19-04-21,103.0,104.5,104.5,101.3,9104900
20-04-21,107.3,108.6,111.8,106.6,15266000
22-04-21,109.0,103.1,112.4,103.1,6647900
23-04-21,103.6,105.0,105.0,102.0,8823200
26-04-21,105.0,99.6,105.0,99.6,8982600
27-04-21,99.6,100.0,101.1,98.2,3979800
