Date,Open,Close,High,Low,Volume
16-11-20,8.45,8.84,8.84,8.45,6090
17-11-20,8.6,9.0,9.0,8.6,2020
18-11-20,9.0,9.1,9.2,9.0,55740
19-11-20,9.1,9.1,9.2,9.1,46070
20-11-20,9.3,9.3,9.3,9.0,63150
23-11-20,9.4,9.5,9.5,9.3,74350
24-11-20,9.5,9.6,9.6,9.3,32680
25-11-20,9.6,9.6,9.6,9.59,6900
26-11-20,9.59,10.0,10.25,9.59,52070
27-11-20,9.3,10.0,10.0,9.3,20090
30-11-20,10.0,10.0,10.1,10.0,53540
01-12-20,9.3,9.99,9.99,9.3,1690
02-12-20,9.98,9.99,9.99,9.3,12220
03-12-20,9.99,9.99,9.99,9.31,25230
04-12-20,9.98,9.98,9.99,9.31,30860
07-12-20,10.0,10.0,10.0,10.0,29220
08-12-20,10.2,10.1,10.2,9.5,45590
09-12-20,10.3,9.5,10.3,9.5,34930
10-12-20,9.99,9.5,10.1,9.5,71540
11-12-20,8.85,9.88,9.9,8.85,49140
14-12-20,9.84,9.83,9.86,9.56,81750
15-12-20,9.15,9.55,9.7,9.15,70810
16-12-20,9.69,9.5,9.69,9.3,9670
17-12-20,9.5,9.4,9.5,9.0,36920
18-12-20,9.4,8.78,9.4,8.78,9160
21-12-20,9.13,9.18,9.28,8.51,8890
22-12-20,9.18,9.2,9.5,9.15,6480
23-12-20,9.0,8.9,9.2,8.9,24150
24-12-20,8.5,9.19,9.3,8.5,590
25-12-20,8.9,8.9,8.9,8.7,2340
28-12-20,9.2,8.8,9.2,8.75,4340
29-12-20,8.8,9.0,9.0,8.8,3000
30-12-20,9.0,8.9,9.0,8.5,930
31-12-20,8.9,8.7,8.9,8.35,19420
04-01-21,8.74,9.2,9.2,8.7,8400
05-01-21,9.2,9.1,9.2,9.1,11800
06-01-21,9.1,9.1,9.1,8.51,15800
07-01-21,8.51,9.1,9.2,8.51,24700
08-01-21,9.0,9.0,9.0,9.0,15900
11-01-21,9.0,8.97,9.0,8.56,15900
12-01-21,8.9,8.9,8.9,8.9,3300
13-01-21,8.87,8.55,8.87,8.42,18400
14-01-21,8.55,8.55,8.98,8.5,16800
15-01-21,9.0,8.66,9.0,8.66,9900
18-01-21,8.47,8.9,9.22,8.47,21200
19-01-21,8.5,8.5,9.0,8.5,15600
20-01-21,8.98,9.05,9.09,8.7,40300
21-01-21,9.19,9.68,9.68,9.05,45800
22-01-21,10.1,10.35,10.35,10.0,59000
25-01-21,10.35,10.8,10.9,10.35,49700
26-01-21,10.9,10.2,11.1,10.2,44000
27-01-21,10.8,10.1,10.8,9.9,40000
28-01-21,10.0,9.5,10.0,9.4,13300
29-01-21,9.4,10.1,10.15,8.9,25800
01-02-21,10.75,10.0,10.75,10.0,800
02-02-21,10.1,10.1,10.1,9.4,6400
03-02-21,10.05,10.3,10.5,9.6,17600
04-02-21,10.3,10.0,10.4,10.0,3500
05-02-21,10.0,10.5,10.5,10.0,15800
08-02-21,10.6,11.0,11.0,10.6,2000
09-02-21,10.25,10.25,10.25,10.25,900
17-02-21,9.63,10.8,10.8,9.61,1700
18-02-21,10.05,10.9,10.9,10.05,8800
19-02-21,11.0,10.9,11.0,10.4,16400
22-02-21,10.9,10.9,10.9,10.9,0
23-02-21,10.9,10.8,10.9,10.2,2500
