Date,Open,Close,High,Low,Volume
16-11-20,6.59,6.55,6.59,6.46,136840
17-11-20,6.55,6.5,6.55,6.47,141780
18-11-20,6.5,6.57,6.57,6.4,106970
19-11-20,6.69,7.02,7.02,6.66,344440
20-11-20,7.51,7.51,7.51,7.25,1022420
23-11-20,7.79,8.03,8.03,7.6,1181450
24-11-20,8.01,7.81,8.04,7.75,433120
25-11-20,7.7,8.15,8.2,7.5,611150
26-11-20,8.0,7.85,8.0,7.76,260490
27-11-20,7.71,7.51,7.9,7.51,286600
30-11-20,7.7,7.6,7.75,7.51,288840
01-12-20,7.5,7.8,7.8,7.4,419570
02-12-20,7.55,7.6,7.79,7.55,143560
03-12-20,7.6,7.94,8.0,7.6,504620
04-12-20,7.95,7.71,7.95,7.71,217240
07-12-20,7.71,7.75,7.77,7.5,253680
08-12-20,7.56,7.48,7.77,7.48,658400
09-12-20,7.63,7.78,7.9,7.48,490800
10-12-20,7.78,7.67,7.78,7.58,265050
11-12-20,7.67,7.67,7.75,7.55,279960
14-12-20,7.71,7.79,7.81,7.68,363760
15-12-20,7.81,8.33,8.33,7.72,1357780
16-12-20,8.69,8.65,8.91,8.51,720820
17-12-20,8.45,8.41,8.62,8.41,379570
18-12-20,8.35,8.44,8.5,8.35,352090
21-12-20,8.35,8.44,8.59,8.35,401830
22-12-20,8.44,8.44,8.84,8.42,601170
23-12-20,8.4,8.38,8.44,8.26,746480
24-12-20,8.25,7.9,8.38,7.8,578820
25-12-20,7.9,8.2,8.2,7.8,297920
28-12-20,8.2,8.1,8.25,7.9,421950
29-12-20,8.1,8.2,8.3,7.9,440850
30-12-20,8.34,8.18,8.34,8.1,210300
31-12-20,8.18,8.19,8.2,8.01,257400
04-01-21,8.39,8.34,8.39,8.21,544700
05-01-21,8.32,8.9,8.92,8.3,1155300
06-01-21,9.0,8.84,9.25,8.65,458800
07-01-21,8.8,8.75,8.8,8.7,464200
08-01-21,8.65,9.2,9.36,8.65,1291100
11-01-21,9.2,9.78,9.8,9.2,539700
12-01-21,10.0,9.87,10.0,9.76,345100
13-01-21,9.87,9.52,9.87,9.3,275900
14-01-21,9.52,9.37,9.6,9.35,353900
15-01-21,9.4,10.0,10.0,9.4,1418700
18-01-21,10.3,10.7,10.7,10.05,1519200
19-01-21,11.25,9.96,11.25,9.96,991200
20-01-21,9.51,9.83,9.96,9.3,453100
21-01-21,9.83,10.5,10.5,9.69,1167800
22-01-21,10.9,11.2,11.2,10.8,1854600
25-01-21,11.3,11.45,11.8,10.9,676300
26-01-21,11.55,10.65,11.55,10.65,951900
27-01-21,10.65,9.91,10.65,9.91,841900
28-01-21,9.22,9.22,9.5,9.22,462200
29-01-21,8.58,8.97,9.2,8.58,1225000
01-02-21,8.6,8.35,8.91,8.35,766800
02-02-21,8.0,8.1,8.11,7.77,956400
03-02-21,8.1,8.5,8.6,7.9,596600
04-02-21,9.0,8.55,9.03,8.4,482700
05-02-21,8.75,8.8,9.0,8.55,465900
08-02-21,8.99,8.19,9.03,8.19,912900
09-02-21,8.3,8.5,8.5,8.18,923700
17-02-21,9.08,9.09,9.09,9.0,754800
18-02-21,9.69,9.45,9.69,9.3,859900
19-02-21,9.31,9.3,9.5,9.1,662000
22-02-21,9.3,9.3,9.35,9.0,1837300
23-02-21,9.59,9.45,9.59,9.25,574600
24-02-21,9.45,9.22,9.65,9.12,712400
25-02-21,9.3,9.21,9.4,9.19,607100
26-02-21,9.2,9.28,9.28,9.05,342500
01-03-21,9.28,9.73,9.9,9.28,697200
02-03-21,9.75,9.58,9.76,9.4,358500
03-03-21,9.5,9.7,9.8,9.49,857700
04-03-21,9.88,9.6,9.88,9.4,474100
05-03-21,9.78,9.58,9.78,9.54,423600
08-03-21,9.73,9.6,9.8,9.49,914600
09-03-21,9.7,10.25,10.25,9.5,2120400
10-03-21,10.75,10.5,10.75,10.25,787900
11-03-21,10.5,10.25,10.55,10.1,478600
12-03-21,10.25,10.15,10.35,10.05,939100
15-03-21,10.25,10.45,10.5,10.2,836000
16-03-21,10.5,10.35,10.5,9.95,694300
17-03-21,10.3,10.25,10.4,10.1,698200
18-03-21,10.4,9.95,10.4,9.95,1273500
19-03-21,9.9,10.1,10.2,9.8,677100
22-03-21,10.1,10.4,10.6,10.1,624400
23-03-21,10.4,10.2,10.4,10.05,574200
24-03-21,10.0,9.9,10.1,9.8,594200
25-03-21,9.9,9.8,10.0,9.75,329000
26-03-21,9.75,9.42,9.75,9.12,960400
29-03-21,9.6,9.46,9.6,8.9,458300
30-03-21,9.59,9.5,9.59,9.42,253100
31-03-21,9.62,9.59,9.64,9.49,302900
01-04-21,9.59,9.9,9.9,9.52,407600
02-04-21,10.1,9.96,10.25,9.92,641700
05-04-21,9.96,9.8,9.96,9.7,375800
06-04-21,9.8,9.64,9.8,9.6,263300
07-04-21,9.65,9.55,9.65,9.4,451400
08-04-21,9.6,9.65,9.65,9.47,469200
09-04-21,9.6,10.1,10.25,9.6,1442300
12-04-21,10.2,10.15,10.25,10.05,805700
13-04-21,10.15,9.86,10.15,9.8,792000
14-04-21,9.86,9.86,9.86,9.6,627500
15-04-21,9.86,9.68,9.86,9.68,687000
16-04-21,9.65,9.48,9.68,9.22,654500
19-04-21,9.48,9.33,9.48,9.28,343700
20-04-21,9.33,9.19,9.58,9.14,425800
22-04-21,9.2,8.94,9.2,8.9,690200
23-04-21,8.6,8.95,9.0,8.6,308700
26-04-21,8.97,8.5,8.97,8.46,626500
27-04-21,8.4,8.49,8.51,8.1,304900
28-04-21,8.49,8.47,8.6,8.39,170400
29-04-21,8.47,8.49,8.52,8.38,233200
04-05-21,8.2,8.18,8.3,8.14,384300
05-05-21,8.18,8.51,8.74,8.18,437400
06-05-21,8.6,8.59,8.75,8.5,258700
07-05-21,8.51,8.45,8.6,8.2,135700
10-05-21,8.21,8.38,8.4,8.16,277600
11-05-21,8.36,8.45,8.55,8.3,312600
12-05-21,8.45,8.45,8.55,8.39,230800
