Date,Open,Close,High,Low,Volume
16-11-20,14.4,15.4,15.4,14.4,14110
17-11-20,15.5,16.45,16.45,15.5,25630
18-11-20,17.6,17.6,17.6,17.6,6410
19-11-20,18.8,18.8,18.8,18.8,37230
20-11-20,17.5,17.5,18.0,17.5,21600
23-11-20,16.35,18.7,18.7,16.3,21740
24-11-20,20.0,20.0,20.0,19.9,20460
25-11-20,20.9,18.7,20.9,18.7,9170
26-11-20,18.6,18.5,18.6,17.7,11300
27-11-20,18.9,18.9,19.0,17.25,42390
30-11-20,18.0,18.0,18.8,18.0,9780
01-12-20,17.75,18.2,18.2,17.0,5730
02-12-20,17.1,17.4,18.2,17.1,6570
03-12-20,17.35,17.9,17.9,17.35,6780
04-12-20,17.9,17.75,18.0,17.75,4300
07-12-20,17.8,17.9,17.9,17.5,14970
08-12-20,17.9,17.6,17.9,17.6,5220
09-12-20,17.5,17.9,17.9,17.5,1850
10-12-20,17.9,17.9,17.9,17.9,1060
11-12-20,16.8,17.85,18.0,16.8,3550
14-12-20,17.85,17.75,18.0,17.75,12450
15-12-20,17.2,18.0,18.0,17.2,5050
16-12-20,17.5,17.5,18.0,17.5,3640
17-12-20,17.5,17.85,17.9,17.5,3500
18-12-20,17.8,17.1,17.8,17.1,440
21-12-20,17.1,16.9,17.75,16.85,14860
22-12-20,16.9,17.3,17.4,16.9,3790
23-12-20,18.0,17.8,18.0,17.3,15610
24-12-20,17.8,17.7,17.8,17.3,9010
25-12-20,18.0,17.65,18.0,17.5,11800
28-12-20,17.65,17.25,17.65,17.25,10160
29-12-20,17.25,17.25,17.75,16.85,3190
30-12-20,17.25,17.3,17.3,17.1,4060
31-12-20,17.3,17.3,17.35,16.8,5320
04-01-21,17.3,17.6,17.6,17.3,15100
05-01-21,17.5,17.5,17.9,17.4,10000
06-01-21,17.55,17.6,17.6,17.5,7800
07-01-21,17.9,17.6,17.9,17.6,3200
08-01-21,17.5,17.4,17.6,17.2,14200
11-01-21,17.1,17.15,17.2,17.1,900
12-01-21,17.4,17.5,17.5,17.4,800
13-01-21,17.6,17.6,17.75,17.6,19400
14-01-21,17.7,18.0,18.0,17.6,20600
15-01-21,18.0,18.3,18.5,17.6,20200
18-01-21,18.65,19.35,19.4,18.65,18200
19-01-21,19.35,18.3,19.35,18.3,6000
20-01-21,18.3,18.3,18.3,17.05,4100
21-01-21,18.3,18.3,18.3,17.5,5000
22-01-21,17.6,17.8,18.5,17.5,8200
25-01-21,17.1,17.5,17.5,17.0,3500
26-01-21,17.05,17.5,17.5,17.0,4000
27-01-21,17.5,16.8,17.8,16.3,8000
28-01-21,16.75,15.65,16.75,15.65,5200
29-01-21,15.6,16.45,16.45,14.9,4800
01-02-21,17.6,17.4,17.6,15.4,4200
02-02-21,17.35,17.35,17.35,17.35,100
03-02-21,17.25,17.0,17.25,17.0,1500
04-02-21,17.0,16.9,17.0,16.0,1500
05-02-21,16.9,16.8,16.9,16.2,1600
08-02-21,17.6,17.0,17.6,17.0,600
09-02-21,17.0,17.0,17.0,17.0,0
17-02-21,16.95,16.5,16.95,16.3,9400
18-02-21,16.65,17.3,17.3,16.5,5800
19-02-21,17.3,17.0,17.4,17.0,9500
22-02-21,17.8,17.3,17.8,16.5,6100
23-02-21,17.2,17.2,17.2,17.2,200
24-02-21,16.8,16.8,17.2,16.05,5700
25-02-21,16.6,16.6,16.6,16.5,1100
26-02-21,17.25,17.75,17.75,17.0,15600
01-03-21,18.95,18.95,18.95,18.9,75800
02-03-21,20.25,20.25,20.25,20.1,49600
03-03-21,20.25,20.3,20.8,19.5,29300
04-03-21,20.3,19.1,20.3,19.0,43000
05-03-21,17.9,19.9,20.4,17.8,106600
08-03-21,20.0,20.2,20.3,19.5,50500
09-03-21,20.2,20.2,20.2,19.6,35400
10-03-21,20.0,19.5,20.0,19.0,33300
11-03-21,19.5,18.6,19.5,18.5,39700
12-03-21,18.6,18.55,18.6,18.45,36800
15-03-21,18.55,19.65,19.8,18.45,23700
16-03-21,19.6,19.3,19.6,18.35,10000
17-03-21,19.3,19.0,19.3,18.5,6200
18-03-21,18.95,18.8,18.95,17.7,4600
19-03-21,18.8,18.75,18.8,18.75,6300
22-03-21,18.5,18.75,18.75,18.2,14800
23-03-21,18.7,18.2,18.7,17.9,4000
24-03-21,18.1,18.6,18.6,18.0,13600
25-03-21,18.6,18.5,18.6,18.5,17100
26-03-21,18.8,18.0,18.8,17.9,18800
29-03-21,19.0,18.7,19.0,18.0,1600
30-03-21,18.5,18.6,18.6,18.5,6000
31-03-21,18.6,18.4,18.6,18.4,24000
01-04-21,18.4,18.4,18.4,18.4,3900
02-04-21,18.4,18.2,18.4,17.5,7500
05-04-21,17.6,18.0,18.0,17.6,5400
06-04-21,18.0,17.3,18.0,17.3,14000
07-04-21,17.85,17.75,18.0,17.4,8900
08-04-21,17.8,17.3,18.0,16.95,15800
09-04-21,17.35,17.8,17.9,17.2,27200
12-04-21,17.8,18.45,18.45,17.8,25000
13-04-21,19.5,19.0,19.5,19.0,50600
14-04-21,19.0,18.95,19.0,17.7,10800
15-04-21,19.0,19.3,19.5,18.8,39600
16-04-21,19.4,19.3,19.5,19.3,61700
19-04-21,19.4,20.65,20.65,19.4,143500
20-04-21,22.0,22.05,22.05,22.0,169400
22-04-21,22.2,23.0,23.55,22.2,151800
23-04-21,22.4,21.4,22.4,21.4,27300
26-04-21,21.0,19.95,21.0,19.95,30500
27-04-21,18.6,19.1,21.0,18.6,85700
28-04-21,19.1,19.2,19.8,19.0,28300
29-04-21,19.9,20.05,20.3,19.8,28100
04-05-21,20.05,20.4,20.4,18.8,57600
05-05-21,20.4,19.7,20.9,19.1,29600
06-05-21,19.0,19.2,20.4,19.0,33500
07-05-21,19.2,19.9,20.0,19.15,47900
10-05-21,20.0,21.25,21.25,20.0,112600
11-05-21,22.7,21.5,22.7,21.5,126600
12-05-21,21.2,21.2,21.2,20.0,40400
13-05-21,20.5,20.55,21.1,20.5,47900
14-05-21,20.2,20.1,20.4,20.1,40800
17-05-21,20.0,19.1,20.0,19.0,46700
18-05-21,19.1,20.4,20.4,19.1,43300
