Date,Open,Close,High,Low,Volume
16-11-20,17.45,17.0,17.45,16.7,2619290
17-11-20,17.3,17.25,17.35,16.95,2228540
18-11-20,17.3,17.7,17.8,17.25,2531760
19-11-20,17.85,17.45,17.85,17.4,1775440
20-11-20,17.5,17.1,17.5,16.9,2473330
23-11-20,16.8,17.25,17.65,16.8,2397310
24-11-20,17.35,17.15,17.55,16.85,1913760
25-11-20,17.3,17.2,17.45,17.05,2121780
26-11-20,17.2,17.45,17.45,17.1,1382100
27-11-20,17.5,18.2,18.3,17.5,4105760
30-11-20,18.3,18.25,18.5,18.05,2184210
01-12-20,18.0,18.85,18.85,17.9,2697080
02-12-20,19.05,18.95,19.2,18.75,2715600
03-12-20,19.0,19.0,19.25,18.85,1685990
04-12-20,18.9,18.7,19.0,18.55,2019080
07-12-20,19.2,19.2,19.25,18.7,2450440
08-12-20,19.2,20.0,20.35,19.2,2964430
09-12-20,20.5,20.1,20.5,20.1,3461930
10-12-20,20.0,19.6,20.15,19.6,2687230
11-12-20,19.6,20.4,20.5,19.4,2487620
14-12-20,20.9,21.8,21.8,20.65,3575780
15-12-20,21.95,22.9,23.05,21.8,3703050
16-12-20,22.9,22.85,23.45,22.65,2869210
17-12-20,22.6,22.6,22.95,22.45,2875390
18-12-20,22.9,24.15,24.15,22.6,2673400
21-12-20,25.3,25.8,25.8,25.1,2609970
22-12-20,26.5,27.5,27.6,26.3,4346060
23-12-20,27.2,27.05,27.95,26.7,2727410
24-12-20,27.2,27.0,27.5,25.2,4368660
25-12-20,27.15,28.85,28.85,27.0,5644860
28-12-20,30.5,30.0,30.5,29.2,4559280
29-12-20,29.65,29.8,30.5,29.25,3610220
30-12-20,29.4,29.4,29.8,29.0,4235310
31-12-20,29.6,30.0,30.95,29.4,3940730
04-01-21,31.0,30.6,31.4,30.6,3176700
05-01-21,30.0,30.1,30.65,29.8,6240500
06-01-21,30.85,29.95,31.1,29.7,4625800
07-01-21,30.2,30.0,30.3,29.4,5525400
08-01-21,30.5,29.6,30.5,29.4,5535100
11-01-21,29.6,28.3,29.85,28.25,8837500
12-01-21,27.9,29.65,30.15,27.7,4924700
13-01-21,29.65,28.95,29.7,28.75,5478700
14-01-21,29.0,30.7,30.95,28.4,8409700
15-01-21,30.95,31.75,31.95,30.7,7625000
18-01-21,31.75,30.65,31.8,30.5,5247400
19-01-21,30.5,28.55,30.5,28.55,6379700
20-01-21,28.65,28.2,29.2,26.6,4753700
21-01-21,28.9,28.95,29.0,27.7,4865500
22-01-21,28.85,27.95,29.1,27.8,5370000
25-01-21,27.05,27.9,28.8,26.85,5321200
26-01-21,27.7,26.1,27.8,26.0,3815900
27-01-21,25.0,24.3,25.6,24.3,7629200
28-01-21,22.6,22.6,23.0,22.6,9726000
29-01-21,21.1,23.45,24.1,21.1,4554700
01-02-21,23.4,21.9,24.0,21.85,3785000
02-02-21,21.9,23.0,23.2,21.3,4189300
