Date,Open,Close,High,Low,Volume
16-11-20,15.45,15.15,15.45,15.0,179070
17-11-20,15.2,15.2,15.3,15.1,208770
18-11-20,15.2,15.55,15.55,15.0,223020
19-11-20,15.45,15.55,15.55,15.3,232970
20-11-20,15.55,15.55,15.55,15.35,197200
23-11-20,15.55,15.15,15.55,15.15,182710
24-11-20,15.15,15.4,15.4,15.15,179040
25-11-20,15.05,15.4,15.45,15.05,201060
26-11-20,15.4,15.4,15.4,15.25,188910
27-11-20,15.4,15.35,15.4,15.2,179290
30-11-20,15.35,15.5,15.5,15.2,210440
01-12-20,15.4,15.3,15.4,15.2,183400
02-12-20,15.3,15.35,15.35,15.2,185570
03-12-20,15.4,15.5,15.5,15.15,211320
04-12-20,15.2,15.4,15.4,15.2,188330
07-12-20,15.4,15.4,15.5,15.25,192610
08-12-20,15.4,15.2,15.4,15.15,172720
09-12-20,15.2,15.2,15.3,15.1,184630
10-12-20,15.2,14.95,15.3,14.9,201800
11-12-20,14.95,14.75,14.95,14.7,200690
14-12-20,14.75,15.35,15.35,14.75,226200
15-12-20,15.35,15.35,15.35,15.15,175780
16-12-20,15.3,15.4,15.4,15.15,192670
17-12-20,15.4,15.35,15.4,15.2,187840
18-12-20,15.35,15.3,15.4,15.1,180930
21-12-20,15.3,15.4,15.4,15.2,196030
22-12-20,15.4,15.35,15.4,15.3,161900
23-12-20,15.35,15.45,15.45,15.3,150390
24-12-20,15.45,15.45,15.45,15.25,94320
25-12-20,15.4,15.35,15.4,15.2,174550
28-12-20,15.3,15.35,15.45,15.25,142110
29-12-20,15.35,15.45,15.45,15.3,204050
30-12-20,15.45,15.45,15.5,15.35,170300
31-12-20,15.45,16.5,16.5,15.3,360170
04-01-21,16.5,16.35,16.5,16.2,177000
05-01-21,15.8,16.0,16.0,15.75,146100
06-01-21,15.95,15.85,16.0,15.75,177300
07-01-21,14.9,15.4,15.4,14.9,247100
08-01-21,14.85,14.9,15.05,14.85,174400
11-01-21,14.9,14.1,14.9,13.9,322600
12-01-21,14.0,14.35,14.35,13.7,215200
13-01-21,14.3,14.2,14.35,14.2,173700
14-01-21,14.2,14.1,14.2,14.0,167300
15-01-21,14.05,14.1,14.15,13.95,189800
18-01-21,14.1,14.1,14.1,14.0,210400
19-01-21,14.1,14.0,14.1,13.5,159400
20-01-21,13.95,13.9,13.95,13.45,153700
21-01-21,13.95,13.9,13.95,13.7,175700
22-01-21,13.9,13.85,13.9,13.6,147300
25-01-21,13.85,13.85,13.85,13.7,170900
26-01-21,13.85,13.8,13.85,13.65,145300
