Date,Open,Close,High,Low,Volume
16-11-20,33.4,33.3,33.55,33.1,949210
17-11-20,33.3,33.2,33.3,33.2,971050
18-11-20,33.2,33.1,33.35,33.05,1240560
19-11-20,33.1,33.2,33.2,33.0,1033450
20-11-20,33.2,33.25,33.5,32.7,1850460
23-11-20,33.25,33.2,33.35,33.0,1542790
24-11-20,33.2,33.2,33.45,33.05,1681510
25-11-20,33.2,33.15,33.4,33.1,1982980
26-11-20,33.15,33.25,33.25,32.95,1787120
27-11-20,33.25,33.25,33.4,33.05,1334620
30-11-20,33.25,33.1,33.4,33.1,1507050
01-12-20,33.1,33.05,33.1,32.9,1549970
02-12-20,33.05,33.15,33.15,32.8,1037100
03-12-20,33.15,33.15,33.45,32.95,1601170
04-12-20,33.15,33.1,33.35,33.0,1974940
07-12-20,33.15,33.15,33.3,32.95,1543430
08-12-20,33.15,33.25,33.25,32.9,1652700
09-12-20,33.25,33.25,33.25,33.1,468670
10-12-20,33.25,33.15,33.25,33.15,429920
11-12-20,33.15,33.15,33.2,33.1,707240
14-12-20,33.1,33.15,33.25,33.1,484530
15-12-20,33.15,33.15,33.2,33.0,880760
16-12-20,33.15,33.1,33.25,32.95,1213170
17-12-20,33.1,33.1,33.25,32.9,879370
18-12-20,33.1,33.15,33.2,32.9,1010170
21-12-20,33.15,33.15,33.15,32.95,688900
22-12-20,33.15,33.1,33.25,32.85,1538690
23-12-20,33.1,33.0,33.25,33.0,1605630
24-12-20,33.0,32.95,33.4,32.8,811150
25-12-20,32.95,33.1,33.15,32.95,1364470
28-12-20,33.1,33.1,33.35,33.0,2783190
29-12-20,33.0,33.15,33.2,33.0,858510
30-12-20,33.15,33.1,33.15,33.0,2817080
31-12-20,33.1,33.35,33.5,33.1,782430
04-01-21,33.35,33.6,33.6,33.3,1160500
05-01-21,33.5,33.6,33.8,33.5,1425000
06-01-21,33.6,33.7,33.8,33.45,757100
07-01-21,33.7,33.65,33.85,33.45,1547500
08-01-21,33.65,33.45,33.65,33.35,851000
11-01-21,33.45,33.45,33.55,33.35,1596200
12-01-21,33.45,33.7,33.7,33.45,1200800
13-01-21,33.55,33.7,33.75,33.4,1394400
14-01-21,33.7,36.05,36.05,33.5,3666700
15-01-21,37.0,37.3,38.55,35.0,3052900
18-01-21,37.25,37.25,37.5,36.9,2162000
19-01-21,37.0,36.3,37.0,35.3,1572800
20-01-21,36.25,35.0,36.3,33.95,2935500
21-01-21,35.0,36.8,37.45,34.65,3790300
22-01-21,37.0,37.0,37.2,36.7,1767000
25-01-21,37.0,38.05,38.6,37.0,1791800
26-01-21,38.05,37.5,38.9,36.7,1476800
27-01-21,37.3,35.95,38.0,35.9,2021600
28-01-21,34.1,33.45,35.1,33.45,1811500
29-01-21,33.15,34.3,34.8,33.15,1405300
01-02-21,34.2,33.75,34.65,33.45,1608800
02-02-21,33.7,34.5,34.5,33.7,1721300
03-02-21,34.5,35.6,36.1,34.5,995300
04-02-21,35.6,35.6,35.75,35.15,833700
05-02-21,35.6,35.05,36.2,35.05,1608100
08-02-21,35.05,33.5,35.2,32.95,964500
09-02-21,33.5,34.1,34.3,33.45,1839900
17-02-21,34.55,34.95,35.05,34.2,879700
18-02-21,35.2,35.25,35.35,34.7,893100
19-02-21,35.2,35.0,35.35,34.6,997900
22-02-21,35.0,35.3,35.5,34.7,1441300
23-02-21,35.0,34.7,35.35,34.6,1403400
24-02-21,34.75,34.5,35.0,34.25,1163800
25-02-21,34.75,34.3,34.8,34.0,1253700
26-02-21,34.3,34.2,34.4,33.8,967900
01-03-21,34.3,35.05,35.1,34.3,716400
02-03-21,35.6,35.1,35.7,34.85,836200
03-03-21,35.1,35.15,35.3,34.9,874400
04-03-21,35.05,34.3,35.5,34.25,817300
05-03-21,34.1,35.0,35.0,33.8,1047600
08-03-21,35.3,35.0,35.3,34.5,1111700
09-03-21,34.1,37.0,37.2,34.0,2142900
10-03-21,37.0,36.8,37.5,35.55,2245800
11-03-21,36.9,36.4,37.0,36.0,1940000
12-03-21,36.3,35.45,36.3,35.4,1234100
15-03-21,35.4,34.5,35.45,34.5,641400
16-03-21,34.3,35.3,35.5,32.2,5219600
17-03-21,35.2,36.5,36.6,34.0,2030800
18-03-21,36.75,36.8,37.0,36.15,560300
19-03-21,35.5,35.9,36.0,34.9,868300
22-03-21,35.9,35.5,36.0,35.3,620200
23-03-21,35.4,34.9,35.4,34.3,1521800
24-03-21,34.8,34.7,35.0,34.0,1078800
25-03-21,34.7,35.0,35.0,34.5,1175300
26-03-21,34.9,35.1,35.4,34.35,764800
29-03-21,35.15,35.4,35.4,35.1,1057200
30-03-21,35.4,36.0,36.1,35.35,1118500
31-03-21,36.15,36.2,36.6,36.0,567800
01-04-21,36.2,37.2,37.2,36.0,1175300
02-04-21,37.35,37.05,37.4,36.95,465400
05-04-21,37.35,36.8,37.45,35.95,1106100
06-04-21,36.75,36.05,36.75,35.8,718100
07-04-21,36.0,35.95,36.1,35.5,685600
08-04-21,35.95,36.3,36.3,35.45,674500
09-04-21,36.3,36.6,36.7,36.15,780500
12-04-21,36.6,36.9,37.0,36.6,1093900
13-04-21,37.15,37.0,37.2,36.4,1240000
14-04-21,37.0,36.9,37.0,36.3,816700
15-04-21,36.8,36.0,37.25,36.0,1175000
16-04-21,36.0,35.9,36.5,35.6,1637700
19-04-21,35.9,36.9,36.9,35.9,1864500
20-04-21,36.95,36.8,37.2,36.5,1420600
22-04-21,36.6,35.2,36.8,35.2,809300
23-04-21,35.5,36.2,36.6,35.2,687500
26-04-21,36.2,36.3,36.55,35.85,1484500
27-04-21,36.3,36.35,36.4,36.1,1328900
28-04-21,36.35,36.4,36.5,36.1,1851400
29-04-21,36.4,36.35,36.55,36.2,975600
04-05-21,35.7,36.0,36.1,34.0,2363900
05-05-21,36.15,36.0,36.5,35.8,1251600
06-05-21,36.0,35.0,36.0,34.75,1889800
07-05-21,34.9,34.6,35.5,34.3,1638500
10-05-21,34.5,34.55,34.6,34.0,1499200
11-05-21,34.55,34.2,34.85,34.2,922100
12-05-21,34.2,34.0,35.3,34.0,1132200
13-05-21,34.05,34.0,34.2,33.85,550000
14-05-21,34.0,34.0,34.8,33.85,1086400
17-05-21,34.0,33.9,34.25,33.3,1305800
18-05-21,33.9,34.4,34.6,33.8,949400
19-05-21,34.4,34.7,34.9,34.35,766500
20-05-21,34.7,34.6,34.9,34.0,1162800
21-05-21,34.6,34.3,34.8,34.0,1780800
24-05-21,34.3,34.35,34.5,33.9,1072900
25-05-21,34.1,34.0,34.65,34.0,798400
26-05-21,34.0,34.0,34.25,33.85,839000
27-05-21,34.0,34.0,34.2,33.9,1564200
28-05-21,34.0,34.05,34.15,33.8,734600
31-05-21,34.05,33.9,34.05,33.7,1247800
01-06-21,33.9,33.65,34.15,33.65,598100
