Date,Open,Close,High,Low,Volume
16-11-20,27.4,26.85,27.45,26.7,7499050
17-11-20,27.0,27.2,27.2,26.85,3123270
18-11-20,27.2,27.5,27.5,27.1,4157080
19-11-20,27.5,27.9,27.9,27.4,5850430
20-11-20,27.9,27.65,28.05,27.55,4545570
23-11-20,27.65,27.7,27.85,27.5,3107690
24-11-20,27.75,27.95,28.1,27.7,5644640
25-11-20,28.2,28.25,28.65,28.1,7359970
26-11-20,28.0,27.9,28.1,27.7,3159210
27-11-20,27.9,27.75,28.0,27.55,5764680
30-11-20,27.95,28.2,28.4,27.4,7187400
01-12-20,27.8,28.25,28.3,27.6,5323260
02-12-20,28.2,28.5,28.65,28.1,8746400
03-12-20,28.65,28.4,28.7,28.4,4665780
04-12-20,28.4,28.0,28.4,28.0,3862410
07-12-20,28.3,28.3,28.3,27.85,3617660
08-12-20,28.5,28.2,28.5,28.05,3897220
09-12-20,28.25,28.4,28.5,28.0,6858420
10-12-20,28.6,28.2,28.85,28.15,8047670
11-12-20,28.2,28.6,28.6,28.1,4662730
14-12-20,29.1,30.0,30.0,29.05,17930230
15-12-20,30.2,30.1,30.85,29.8,13985630
16-12-20,30.1,30.5,30.5,29.85,7472860
17-12-20,30.05,29.75,30.4,29.3,10318500
18-12-20,29.75,30.15,30.35,29.65,11949250
21-12-20,30.35,30.4,30.65,29.95,9988310
22-12-20,30.3,30.3,30.35,30.05,6311760
23-12-20,30.35,30.6,31.35,30.1,11225570
24-12-20,30.65,29.95,30.8,28.6,8896890
25-12-20,29.9,30.45,30.6,29.55,5682560
28-12-20,30.7,30.45,30.85,30.05,8216210
29-12-20,30.45,31.65,31.8,30.25,11628180
30-12-20,31.7,31.35,32.05,31.1,5264090
31-12-20,31.5,31.4,31.5,31.2,4650930
04-01-21,31.5,31.65,32.45,31.4,9299700
05-01-21,31.65,33.3,33.5,31.5,11968500
06-01-21,33.85,33.2,33.9,33.05,9706700
07-01-21,33.2,33.9,33.9,33.0,8942200
08-01-21,34.3,35.5,36.25,34.3,11122400
11-01-21,35.5,37.15,37.3,35.4,8820500
