Date,Open,Close,High,Low,Volume
16-11-20,19.85,19.75,20.0,19.75,20750
17-11-20,19.8,18.8,19.8,18.4,167710
18-11-20,18.8,18.6,18.8,18.5,72280
19-11-20,18.5,19.1,19.1,18.05,141460
20-11-20,19.0,18.8,19.0,18.6,32930
23-11-20,18.8,18.9,19.0,18.5,26940
24-11-20,19.0,18.7,19.0,18.7,20620
25-11-20,18.7,18.9,18.95,18.5,52540
26-11-20,18.9,19.0,19.0,18.55,42070
27-11-20,18.8,18.9,18.9,18.7,17810
30-11-20,18.7,18.9,19.0,18.65,25220
01-12-20,18.6,18.9,18.9,18.6,10750
02-12-20,18.8,18.85,18.9,18.65,17980
03-12-20,18.85,18.8,18.9,18.6,15650
04-12-20,18.65,18.6,18.65,18.55,72010
07-12-20,18.8,18.8,18.8,18.6,17070
08-12-20,18.65,18.8,18.95,18.65,60750
09-12-20,18.9,18.85,18.95,18.8,19800
10-12-20,18.8,18.7,18.85,18.7,47520
11-12-20,18.7,18.75,18.8,18.65,47520
14-12-20,18.7,18.6,18.8,18.6,84240
15-12-20,18.65,18.65,19.0,18.65,79110
16-12-20,18.9,18.7,18.9,18.6,307940
17-12-20,18.6,18.6,18.8,18.6,120700
18-12-20,18.5,18.5,18.65,18.45,136810
21-12-20,18.55,18.6,18.6,18.35,43760
22-12-20,18.5,18.35,18.5,18.3,92280
23-12-20,18.35,18.45,18.45,18.25,47270
24-12-20,18.4,18.2,18.4,18.05,71740
25-12-20,18.4,18.6,18.7,18.15,97790
28-12-20,18.6,18.7,18.7,18.55,64240
29-12-20,18.6,18.7,18.8,18.55,77720
30-12-20,18.7,18.8,18.85,18.7,40310
31-12-20,18.8,18.8,18.95,18.7,120740
04-01-21,18.8,18.85,19.0,18.5,150200
05-01-21,18.85,18.85,18.9,18.6,72100
06-01-21,18.9,18.8,18.95,18.8,107700
07-01-21,18.6,18.6,18.6,18.0,52400
08-01-21,19.1,18.65,19.1,18.65,27200
11-01-21,18.65,18.6,18.7,18.55,24600
12-01-21,18.6,18.5,18.6,18.4,33500
13-01-21,18.5,18.5,18.6,18.4,14600
14-01-21,18.45,18.45,18.7,18.45,53800
15-01-21,18.45,18.55,18.6,18.45,31500
18-01-21,18.5,18.55,18.6,18.45,42700
19-01-21,18.55,18.0,18.55,18.0,37100
20-01-21,17.15,17.85,17.85,17.15,80700
21-01-21,18.3,18.3,18.4,17.9,48500
22-01-21,18.0,18.1,18.6,17.7,35400
25-01-21,18.15,19.35,19.35,18.15,274500
26-01-21,20.0,19.0,20.0,18.0,137000
27-01-21,19.0,18.1,19.0,18.1,53100
28-01-21,17.0,17.0,17.8,16.9,207700
29-01-21,16.2,17.5,17.8,16.2,16200
01-02-21,17.8,17.5,17.9,17.0,41800
02-02-21,17.5,17.65,17.75,17.2,75400
03-02-21,17.6,17.9,17.9,17.5,57900
04-02-21,17.6,17.95,18.0,17.6,30300
05-02-21,17.8,18.05,18.2,17.8,13700
08-02-21,17.8,17.7,18.0,17.6,31700
09-02-21,17.9,17.8,18.0,17.7,11000
17-02-21,17.8,18.0,18.3,17.8,43700
18-02-21,18.0,18.0,18.0,18.0,21100
19-02-21,18.0,18.0,18.1,17.9,43400
